α₁ f₁ α₂ variance ν μ A ϕ T₀
1.077461769416236947e+00 8.102055185831772213e-03 3.060018641293611452e+00 2.389297243027126497e-02 1.250076640776691228e+00 1.950329925588551783e+00 4.103704925302419787e-02 5.684635682661011158e-01 1.968998808541141159e+02
1.491976032052285461e+00 1.499822104394164281e-02 2.937434168105797383e+00 1.487648922837218023e-02 1.186348843688587618e+00 1.213212692954224625e+00 3.091806303217280449e-01 3.744090456982196891e+00 6.908675436372489003e+02
1.253025241621732011e+00 1.693048984944965597e-03 2.645957672586199294e+00 3.450371431759486490e-02 1.033545403614099412e+00 1.881332078766302374e+00 2.346744065284719905e-01 4.731911878730937104e+00 6.891374999714901151e+02
1.065666792294895249e+00 5.649992470858156667e-03 3.090987837445200448e+00 3.645727626715181829e-02 1.274935590072685976e+00 1.343728662083822911e+00 2.315728705243624286e-01 2.519564755165419889e+00 6.576358503325006950e+02
7.619990475961848642e-01 6.653980016252607210e-03 2.896749880178239422e+00 2.580828503605964511e-02 9.722912286207654464e-01 1.212070932078592733e+00 1.735167885006848598e-01 4.339336440710425791e+00 4.322265339548481506e+02
1.249572677451950553e-01 2.784023486063766980e-03 2.976626407228278204e+00 6.334150261196012932e-02 1.220574773334929919e+00 1.114878262610876636e+00 4.984302438181610340e-01 2.588556218687653843e+00 4.487989029754217540e+02
1.426528277968959868e+00 1.944792793250428326e-03 2.764973144568513952e+00 5.512692379132990567e-02 1.128200054727722002e+00 5.954711452985930187e-01 6.159672265183617768e-01 3.067769128207504803e+00 6.690779049386349016e+02
9.083350599973645245e-01 1.598949376172736220e-02 3.336012830611564617e+00 1.305999718808197561e-02 1.139446069139764983e+00 1.468176603259413016e+00 2.413440183974218944e-01 3.903080210256077542e+00 5.600175492716792860e+02
5.466050770867917352e-01 3.600659777771743255e-03 2.648470942190806365e+00 2.392774383637468610e-02 1.099195697201059474e+00 1.205636887683864122e+00 3.452098298665534082e-01 4.061371428374480175e+00 3.110517735318488235e+02
8.078798077430041635e-01 6.759475946942179216e-03 2.660569508261101390e+00 1.375931320831104421e-02 1.053099638778308700e+00 1.143296581214719332e+00 2.438143047353064641e-01 2.939649514282921317e+00 7.250657473165492775e+02
1.494984648284935824e+00 1.053484332108431051e-02 3.136985085528904094e+00 3.619115318445027124e-02 1.144217408132052416e+00 1.822070586665713421e+00 2.773188384379187688e-01 3.823981586385711839e+00 5.846818555548394443e+02
9.942317658700363658e-01 8.429146404623954342e-03 3.040850608599645177e+00 1.987308982282843042e-02 1.152304428808634373e+00 1.096010648628101602e+00 1.985889356750980272e-01 2.736151806221263971e+00 6.985561410903553679e+02
1.296005174006962468e+00 3.945074645263988745e-03 2.703447930490679774e+00 2.590365945626438293e-02 1.013566458156671679e+00 1.953972571825530302e+00 9.020091070973819403e-02 2.469766972367890112e+00 1.593293680804760299e+02
1.391258510794299630e+00 1.818443998572491505e-02 3.416516485448798157e+00 2.188713703009722775e-02 1.340546156256133159e+00 9.738194644955213697e-01 2.599908617739922212e-01 2.963532712713850881e+00 4.994992072849992155e+02
1.338167386083723986e+00 2.428928775994358691e-02 3.924197955487939371e+00 1.860837860414227968e-02 1.207356945838282014e+00 9.980965642525059245e-01 1.685634528316174441e-01 3.304277060500988572e+00 6.675937928545546356e+02
4.446872556112246855e-01 2.282395915813364377e-03 2.875032727880484806e+00 6.329118496436741959e-02 1.158700897650523975e+00 4.520561123356762190e-01 5.763551066635518028e-02 5.471784417422316249e-01 6.982624328775308413e+02
1.445694004644463737e+00 1.735153464789702255e-02 3.167558906784164741e+00 1.866612959298543511e-02 1.137565634868380693e+00 1.318262291887798421e+00 2.968401516162876286e-01 4.229968525814501668e+00 7.220159810928897741e+02
1.115204725375324557e+00 1.604449795379681715e-02 3.458147706603643012e+00 1.234628805569974383e-02 1.223670026131329802e+00 1.436017810967748609e+00 1.461006432268347754e-01 3.563931720790395108e+00 3.031279133973565081e+02
1.068764747959766837e+00 1.179797248540267671e-02 3.205557477297939606e+00 1.777458332478810271e-02 9.904885911884653282e-01 9.463150296642854897e-01 9.605531081198077914e-02 2.011802667415001356e+00 1.573854157559118789e+02
1.486514794235199055e+00 2.418136520037795362e-02 3.436934141628531947e+00 1.662784556351922655e-02 1.195082188741338980e+00 1.850525658116764616e+00 2.640111908697576615e-01 2.854818741835810414e+00 5.375985046721087883e+02
3.021090343928720112e-01 5.347018296268952336e-03 2.914788869940429628e+00 2.463067478443414435e-02 1.085504393679568302e+00 1.377887461281248171e+00 1.930370163578505327e-01 2.574090333886320359e+00 4.954242671734196506e+02
1.486042340085172109e+00 2.788164338639656861e-02 3.581792951764038335e+00 1.494693101528150533e-02 9.812485282064251635e-01 9.948789318077387867e-01 2.543227513042832233e-01 3.031439598874503538e+00 2.875587494934151778e+02
1.080075701674661381e+00 7.322044911504273744e-04 2.503327920777493887e+00 3.916444255080668568e-02 9.939012177976238593e-01 1.191595952635940314e+00 4.579791604957264561e-01 1.968000261939371276e+00 6.382776340618419226e+02
1.374841527160683086e+00 1.111933174421060773e-02 3.123355783274133657e+00 1.999266107214591609e-02 1.395360087460785437e+00 1.344248035613601511e+00 1.150532508257180730e-01 2.777639272425219019e+00 4.656264069949477857e+02
1.469814994074686965e+00 4.026030529441049222e-02 3.637050474088774354e+00 9.661612088723485134e-03 1.250268115622885423e+00 1.146869875542753769e+00 1.667346728084504182e-01 3.908933835404845958e+00 7.252890904298822079e+02
1.465522515538384418e+00 3.360314395417654532e-02 3.907406786296309331e+00 1.346137122378419579e-02 9.606401726552465936e-01 1.256705353437272521e+00 1.825934243455413497e-01 3.360565908241429423e+00 6.320672685089091374e+02
1.276891348783549596e+00 1.917163533442077517e-02 3.238019638847085879e+00 1.149958783734693346e-02 1.142739625448200513e+00 1.240976369945026914e+00 2.643841981767988680e-01 2.973475301367956902e+00 7.100239247161673575e+02
1.362848355599215466e+00 2.229411360115626101e-02 3.389784338202761038e+00 1.346143903490618077e-02 1.175217089670751891e+00 1.474975036785119764e+00 2.136263970923543976e-01 3.480773391951909712e+00 2.876865328085121405e+02
1.776183848502266294e-02 6.088796089175081000e-04 2.490137896239646764e+00 3.661556241894114300e-02 9.886830130493022839e-01 1.933751944177132920e+00 6.932895676848696564e-02 5.501575821010575851e-01 4.228652681006824992e+02
