weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -2.249812403132007603e+03 9.067520971351861192e-02 9.529640606290660232e-01 3.191179861195886369e-01 5.270455770119352179e-01 7.594859160332984027e-01 9.191802660876257081e-01 3.974075899388663791e-01 6.141764890336597338e-01 7.858155151452230758e-01
0.000000000000000000e+00 -2.216103331757557953e+03 8.967103916334262514e-02 5.804625226374806601e-01 2.279523021496494550e-01 4.823197150294322721e-01 5.094741528158397426e-01 9.566703057803094268e-02 3.048994350684053334e-02 6.416698936996907410e-01 6.295686998412256541e-01
0.000000000000000000e+00 -2.184928079976332810e+03 1.963463874758777372e-01 8.632393509369010731e-01 3.004663632680751872e-01 5.195621712802522829e-01 2.188001100839948032e-01 8.733418848021632375e-01 5.982213889651162297e-01 4.089796392963011007e-01 2.706755673111235216e-01
0.000000000000000000e+00 -2.173250823233176106e+03 2.959828155096426716e-01 5.935558405444406604e-01 5.333839487530488421e-01 5.528476693217432292e-02 6.854295457072132614e-01 8.282307565588479248e-01 1.474682479424448411e-01 6.413271044649901942e-01 9.003210158979190192e-01
0.000000000000000000e+00 -2.154480258518386563e+03 3.689009138257653975e-01 7.319566015373473178e-01 2.096939551688536962e-02 3.046276989069942598e-01 5.321979083560336443e-01 7.877230318742416415e-01 7.466358811207368662e-01 4.467523634283687706e-01 1.965712396561086761e-01
0.000000000000000000e+00 -2.106390107999085558e+03 5.227823939154965238e-01 7.349278819158340248e-01 3.785733300436447957e-01 2.030090365222575466e-01 2.160412997629085341e-01 1.838181497499506989e-01 7.594712868268662653e-01 1.031077766883774505e-01 2.169597061586497899e-01
0.000000000000000000e+00 -2.080568833589211408e+03 9.687987752288833576e-01 9.297446386601746493e-01 8.565413268023865934e-01 1.396225504769368353e-01 5.644969166293838381e-01 1.239767648658324228e-01 5.946585733107775384e-01 4.742353168571789013e-01 7.532348850585135480e-02
0.000000000000000000e+00 -2.001489804466098576e+03 5.847238787772202073e-02 2.349374994261015370e-01 4.890819255012335276e-01 2.329164919924727739e-01 1.314654401104343728e-01 9.864184771784878514e-01 9.531318011577193383e-01 1.848329258268907038e-01 7.021222521216656798e-01
0.000000000000000000e+00 -1.986997617181595160e+03 4.046163622665790438e-01 9.793335813474890461e-02 3.276967975043811876e-01 4.641358087186275849e-02 2.310512544415479486e-01 7.808228757950017584e-01 9.244907867142343472e-01 3.902654531329182719e-01 6.471760566891665567e-01
0.000000000000000000e+00 -1.954712335125130949e+03 1.431609198974270747e-02 6.371771526359766291e-01 3.094049281102443372e-01 9.462052380920702443e-01 1.472365012729968115e-01 7.324794791790156800e-03 5.793846796233755869e-01 4.361174695105678456e-01 5.213953099250656642e-01
0.000000000000000000e+00 -1.856923304093745855e+03 5.315785115213378376e-02 5.426888160810876549e-01 3.574500147801277228e-01 8.741081577170068950e-01 3.107478913993263481e-01 6.493300664376788767e-01 9.521864897048866183e-01 3.866320326305092703e-01 5.962172760004097460e-01
0.000000000000000000e+00 -1.835958406180880957e+03 8.292219454756449837e-01 7.112693361289128546e-01 6.609907819672982132e-01 4.256846643391191121e-01 9.323593152507424486e-01 3.924667195011034559e-01 8.901056408348468896e-01 9.095698059742970409e-01 1.422142255542971911e-01
