logz logzerr logvol nlive logl logwt insert_order
-4.234349680512702434e+03 1.532510185287320326e+02 -1.000000000000000472e-01 4.000000000000000000e+02 -3.868127382012497037e+03 -3.874220096299188299e+03 6.600000000000000311e-01
-3.874220096299188299e+03 3.034942770774504197e+02 -1.025000000000000494e-01 4.000000000000000000e+02 -3.689334966764320598e+03 -3.695430181051011914e+03 3.350000000000000200e-01
-3.695430181051011914e+03 3.419525934469508002e+02 -1.050000000000000516e-01 4.000000000000000000e+02 -3.609816435466374514e+03 -3.615914149753065885e+03 3.750000000000000000e-01
-3.615914149753065885e+03 3.412880152684546431e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -3.478021017324596414e+03 -3.484121231611287840e+03 4.050000000000000266e-01
-3.484121231611287840e+03 7.570453881563894072e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -3.422887698612173153e+03 -3.428990412898864633e+03 4.349999999999999978e-01
-3.428990412898864633e+03 8.453124965442928840e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -3.392861674954808677e+03 -3.398966889241500212e+03 1.370000000000000107e+00
-3.398966889241500212e+03 1.318359110105877896e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -3.293262336435876023e+03 -3.299370050722567157e+03 5.550000000000000488e-01
-3.299370050722567157e+03 5.280874756230513611e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -3.216981700783340784e+03 -3.223091915070031973e+03 1.229999999999999982e+00
-3.223091915070031973e+03 8.247144512604833722e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -3.146560446969385339e+03 -3.152673161256076583e+03 5.050000000000000044e-01
-3.152673161256076583e+03 3.052584937200844450e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -2.772190161328679096e+03 -2.778305375615370394e+03 4.650000000000000244e-01
-2.778305375615370394e+03 2.002027423064720040e+02 -1.250000000000000555e-01 4.000000000000000000e+02 -2.472665877344650653e+03 -2.478783591631342006e+03 4.400000000000000022e-01
-2.478783591631342006e+03 3.263261939341329594e+02 -1.275000000000000577e-01 4.000000000000000000e+02 -2.268884460757670695e+03 -2.275004675044362102e+03 2.750000000000000222e-01
-2.275004675044362102e+03 2.421367700954176598e+02 -1.300000000000000600e-01 4.000000000000000000e+02 -2.249812403132007603e+03 -2.255935117418699065e+03 5.300000000000000266e-01
-2.255935117413472653e+03 9.360700877561191291e+00 -1.325000000000000622e-01 4.000000000000000000e+02 -2.216103331757557953e+03 -2.222228546044249470e+03 1.485000000000000098e+00
-2.222228546044249470e+03 2.274544565791413220e+01 -1.350000000000000644e-01 4.000000000000000000e+02 -2.184928079976332810e+03 -2.191055794263023927e+03 7.399999999999999911e-01
-2.191055794263023927e+03 1.398929066058828852e+01 -1.375000000000000666e-01 4.000000000000000000e+02 -2.173250823233176106e+03 -2.179381037519867277e+03 2.700000000000000178e-01
