weight logl α₁ f₁ α₂ variance ν μ A ϕ T₀
0.000000000000000000e+00 -5.035735670102637414e+03 1.277191662864388455e+00 1.810938078255184547e-01 2.887247454950465197e+00 2.779050814640034606e-03 1.309774234731591713e+00 7.004476130654113675e-01 1.695505694590176748e+00 4.742142591513441197e+00 1.258633985907476074e+02
0.000000000000000000e+00 -4.731463274577841730e+03 9.784822222919524748e-01 5.294089688347765055e+00 3.780762999965975535e+00 8.046063837870336133e-02 5.168031621701095757e-01 1.856306169912718573e+00 8.442079873067658724e+00 4.621939768769680157e+00 2.202053481429842066e+02
0.000000000000000000e+00 -4.474599691566565525e+03 5.415401582922828583e-01 7.738403536362907786e+00 1.593198048886237839e+00 6.148908999535816766e-03 1.274710999407382639e+00 -1.557938255146917861e-01 1.085671704759541445e+00 5.737848080685698626e+00 4.013746719391011197e+02
0.000000000000000000e+00 -4.445437683520043720e+03 1.182774722824484703e+00 9.520686012782382690e+00 1.196590048138985729e+00 2.194207755601730592e-02 6.257945282942188776e-03 3.995074068211811325e-01 2.511171671675643591e+00 1.899618248874599180e+00 5.197628455404268522e+01
0.000000000000000000e+00 -4.228259466226010773e+03 2.533468426678961438e-01 7.760794901518794364e-02 2.213781816278017622e+00 2.622791192508813762e-02 1.046746505609825073e+00 -2.683599396850564478e-01 3.553263981388233184e+00 5.365743547912073197e+00 5.642562487472659996e+02
0.000000000000000000e+00 -3.868127382012497037e+03 3.573533711973833626e-01 9.130287362378796123e-01 3.388008356452937964e+00 2.805655724670356663e-02 7.948395383249119428e-01 3.359434481594935296e+00 4.721843001289937058e-01 2.612527185284020170e+00 1.668324088930112907e+02
0.000000000000000000e+00 -3.689334966764320598e+03 1.184297736840201898e+00 1.882221186286815728e-03 3.504464995776938707e+00 9.253108218281024672e-03 1.064969117755575789e+00 2.039346412629474692e-01 7.662838563164035222e+00 6.064135095995106361e+00 4.223255903590123808e+02
0.000000000000000000e+00 -3.609816435466374514e+03 3.795348241450424709e-02 7.580789527220427315e-02 3.669687415945807718e+00 2.253603631513905609e-02 8.716360436715847593e-01 3.072181673426745974e+00 8.120841924452140148e-01 3.599384609791546341e-02 2.563246323383323215e+02
0.000000000000000000e+00 -3.478021017324596414e+03 9.346170672161313586e-02 9.041878993462353076e-02 1.185835038102704075e+00 5.631914195828498226e-02 2.798475749340184837e+00 3.692482255348454423e+00 7.799383947987172938e-01 3.995474408383525411e+00 2.185635873357772709e+02
0.000000000000000000e+00 -3.422887698612173153e+03 3.505884604249012160e-01 2.055235870701589196e+00 3.022122805813395985e+00 1.175657735073957627e-01 1.065235693293807184e+00 1.209652912797587465e-01 3.637299943059966623e+00 5.548018341220125826e+00 3.533138358755999207e+02
0.000000000000000000e+00 -3.392861674954808677e+03 7.762408930578010846e-01 5.509326542681330235e-02 3.617835999178839579e+00 2.327700016594240473e-02 1.955527817274602398e-01 3.142393264045886259e+00 1.274866488051650038e+00 1.550977794793883202e+00 1.645374715386124009e+01
0.000000000000000000e+00 -3.293262336435876023e+03 7.412728044293883656e-01 2.249802136931490226e-01 1.728913508405328425e+00 2.233621564516277691e-02 6.859844508583943234e-01 6.284945580528310538e-01 2.584832520352763119e+00 9.766906506259176446e-01 7.693053083452724650e+01
0.000000000000000000e+00 -3.216981700783340784e+03 3.317786935409337001e-01 4.985612992429727441e+00 3.029178888352947574e+00 1.872054805068081723e-02 5.655149854198479042e-01 -1.774979230805640018e-01 2.004408429539313030e-01 4.004695776920209838e+00 2.739793330134432381e+02
0.000000000000000000e+00 -3.146560446969385339e+03 3.178766769516413460e-01 9.644268156711639506e-01 3.860629181693249201e+00 4.977500626521581123e-02 1.337287336844622532e+00 -1.029236827931757858e+00 9.624546206711253049e-01 5.876574035921443340e+00 2.068615951478595889e+02
