weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -3.096014200676106157e+03 2.155229001331633587e-01 7.334963490143720399e+00 4.967222662795830246e+00 2.527207602402346820e-02 7.025403415504881677e-01 1.291792832785536582e+00 3.816396153221690013e-01
0.000000000000000000e+00 -2.108769826504349112e+03 4.443557139921847088e-01 5.665411409658605013e-01 5.066186321985685304e+00 8.338236314487003017e-03 1.201156652630565869e-01 -1.266237086014068591e+00 7.017658794942947809e-02
0.000000000000000000e+00 -2.070148477450871724e+03 1.228082779647119205e+00 3.600440841523715511e-04 5.573595372512464508e+00 6.903279932735389979e-02 4.229489616972458288e-01 1.903127405405870221e+00 4.173233018931347960e-02
0.000000000000000000e+00 -1.860272849418587612e+03 8.858089881190481241e-02 5.283676082656625361e-01 3.396976729972815079e+00 3.529290860690251219e-02 9.531926490941562413e-01 1.209956825664396440e+00 4.823008472341716135e-04
0.000000000000000000e+00 -1.767527426771704540e+03 1.078063864163097296e+00 1.618343011109753477e-03 3.895755646512233827e+00 3.006175340815926515e-03 3.117739035613524834e-01 4.169833313995332524e+00 1.774538765309566259e-05
0.000000000000000000e+00 -1.767091259966490270e+03 1.094204654521740316e+00 1.087792033778753201e-03 5.532548421812284012e+00 3.432970673623244595e-01 2.701206883030400352e-01 7.905529721993063141e-01 2.859354858847612440e-05
0.000000000000000000e+00 -1.675008421357638781e+03 1.578924844074204581e-01 9.413670170704348195e+00 2.575196341685833890e+00 1.821684123839198421e-02 8.214774270336315520e-02 -8.890234867629213111e-01 4.906155889976329329e-03
0.000000000000000000e+00 -1.607579549435287390e+03 8.514108105971850415e-01 1.681647684746626244e-03 5.905364016993355669e+00 1.129024995442638457e-01 4.447544851974034041e-01 1.098860750316064561e+00 6.719116363779883971e-02
0.000000000000000000e+00 -1.550378332491620768e+03 3.008722842745177317e-01 8.407396100095102520e-01 2.715809590112166827e+00 1.853967429589644528e-02 2.649280573005090567e-01 -8.402095749934502811e-01 4.415830426408011721e-06
0.000000000000000000e+00 -1.493070860005857412e+03 4.942048330191449734e-01 2.126670646525765859e-03 5.893951089273511634e+00 7.046882070787981178e-02 4.378683851424906015e-01 7.491892032396505474e-01 8.292989054637649616e-04
0.000000000000000000e+00 -1.461915707612798997e+03 1.015834008513442299e+00 1.999391507922392702e-02 5.153442490810068222e+00 6.192912542723923164e-02 6.239844696856964440e-02 2.022168294275868750e+00 2.614326795023881878e-01
0.000000000000000000e+00 -1.438297498071856353e+03 9.677793703732372466e-01 7.613811844710744771e-04 4.166899173834967662e+00 2.328984859172458788e-01 1.024830622139697445e-01 -5.997082705153761184e-02 2.122564364487338276e-02
0.000000000000000000e+00 -1.401239553396729661e+03 1.114688425274854011e-01 2.246470881121596985e+00 3.085357093013891827e+00 3.471674280022942621e-02 6.374584440892396842e-01 -6.358698148797319316e-01 5.145785885440342056e-05
0.000000000000000000e+00 -1.248827659509412570e+03 4.631179104058441576e-02 3.365396080361302111e+00 1.854486482724706953e+00 2.033581112463580393e-02 1.182970460604713780e+00 8.622861696814817511e-01 1.006837426210011183e-01
0.000000000000000000e+00 -1.192196745966821027e+03 2.118630185061227966e-01 9.680673233654123466e-01 3.185421287498179099e-01 3.383095460076663424e-02 6.170275321279817815e-01 -1.459377298720399896e+00 3.121836079937913289e-04
0.000000000000000000e+00 -1.171246379070079911e+03 4.883214341169217487e-01 6.518315153954280738e+00 2.292013950803416300e+00 1.005653936374929606e-02 2.985658488936284716e-01 1.154050031048583058e+00 2.170890543355460597e-02
0.000000000000000000e+00 -1.165341010419882423e+03 3.128454703098283440e-01 6.828903953302221108e-01 4.245717045879049856e+00 3.883009871373629962e-02 1.206526177380583542e+00 1.565972956924001291e+00 1.757539485119206544e-03
0.000000000000000000e+00 -1.138334578300820795e+03 2.517986505237924666e-01 1.199172561167692885e+00 3.043230579618512621e+00 1.252802614327430328e-02 3.960575747522238066e-01 -4.109238180115406536e-01 2.285663101757830955e-04
