weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -8.790913129400674961e+02 6.516587012067084350e-01 7.540469309140348519e-01 8.200498066999682978e-01 6.261580220828888432e-02 9.438200150836970614e-01 8.713559424044725610e-03 1.694506520794993865e-01
0.000000000000000000e+00 -8.708628713304285611e+02 1.724015796783684440e-01 9.188685050129347109e-01 7.481352633446924916e-01 9.703559194391166987e-01 4.560505763755846598e-01 9.155274174825936973e-01 5.741358140501157115e-01
0.000000000000000000e+00 -8.703949441306882591e+02 2.956022648427392152e-01 9.825514534477317596e-01 8.941357102417221148e-01 4.297995998825482333e-01 4.869124458166605995e-01 8.097872835442850858e-01 7.864911962105537446e-01
0.000000000000000000e+00 -8.672132773454623020e+02 8.944353817540007245e-02 9.224251713323280422e-01 5.381848982012782390e-02 7.948138783283207331e-01 8.811618572691816142e-01 8.256462266400276251e-01 8.529144772545548259e-01
0.000000000000000000e+00 -8.407392061606794869e+02 5.874492499014887237e-01 4.245203465414865152e-01 2.126571623920489040e-01 6.674966172925955732e-03 5.981948712936798751e-01 3.115545507974837314e-02 8.834739497070753789e-02
0.000000000000000000e+00 -8.259459687629698692e+02 4.095636772092713374e-01 7.352362313245000003e-01 8.808783924802090493e-01 2.627735442757144213e-01 5.427319948996522925e-01 4.460108285955943774e-02 2.658656283210140137e-01
0.000000000000000000e+00 -8.150076259968614067e+02 3.659339042797784547e-01 6.246632622342294106e-01 6.320804708603067201e-02 8.555153319129096268e-01 8.513130985265341399e-01 9.901031767748201817e-01 6.457681481676935675e-01
0.000000000000000000e+00 -8.020686753223449159e+02 4.863701839822798245e-02 9.446841736785427379e-01 5.324411714700716391e-02 7.853466800741669696e-01 4.796077740041009285e-01 5.519641414951321767e-01 4.745596419960643741e-01
0.000000000000000000e+00 -7.989541861198068773e+02 2.492343682018969275e-01 8.174657249336024778e-01 3.469004855403401422e-02 3.021489755266473232e-01 9.477361895340379316e-01 7.880355670660744716e-01 7.869362721891799417e-01
0.000000000000000000e+00 -7.983502036319327999e+02 2.804544822002452698e-02 9.950860494470397111e-01 9.429666134280315637e-01 4.233790660705396558e-01 2.470840152813066348e-01 1.761311585091759335e-01 3.715845530736586744e-01
0.000000000000000000e+00 -7.831611662106998892e+02 5.434228330594635947e-01 7.301997497105574553e-01 4.533667169545003706e-01 9.983098630348525848e-01 5.736876195319380312e-01 1.160698063719347584e-01 4.382948717253173365e-01
0.000000000000000000e+00 -7.691110295461812711e+02 2.613363581090877297e-01 9.732069640968621371e-01 5.943445710143573368e-01 8.777698500474708787e-01 8.140900851700260121e-01 8.966282567771578504e-01 4.381262379482320224e-01
