α₁ f₁ α₂ variance ν μ c
1.113534397483911143e+00 6.428992677515852142e-03 2.790985151897403593e+00 1.488482445955521989e-02 1.108607461645495729e+00 -1.404583378980445163e-02 9.398457430161058068e-06
4.629660282594902365e-01 3.819371653911308138e-03 2.690570806141861837e+00 1.742354205184182270e-02 8.956983961742445155e-01 1.745686555529122608e-01 2.545492048033426437e-06
1.067546115162570031e+00 5.673206013264237881e-03 3.043374824666775780e+00 2.323671215695340478e-02 1.275441368502575834e+00 -2.016842316836489069e-01 1.808577932347894650e-05
4.302847573796403924e-01 3.985477834725984804e-03 2.697875808826597055e+00 1.815110912127037776e-02 1.097169833059359112e+00 2.467924465314054183e-01 2.055183835372014826e-05
8.147182084011452829e-01 3.436281709555494019e-03 2.660046956151725261e+00 1.834479389646741926e-02 8.823073141692803212e-01 1.654880265986185539e-01 2.562803091437544249e-05
1.152209051261150696e+00 1.558383770840285169e-02 3.255099380609046023e+00 9.122578766691083127e-03 1.188406335941055270e+00 3.578951329691303362e-01 6.315115770988660553e-04
3.470812619649773501e-01 4.363304786397229594e-03 2.955289483907260983e+00 1.754991080032148459e-02 1.244637430117626176e+00 2.089445260061368326e-01 2.104496224388002670e-04
8.595999038725448127e-01 1.798523093066262167e-03 2.755246634401766315e+00 3.917545382208611343e-02 1.060769652704264265e+00 7.451719576311108817e-01 2.618557740973375262e-05
3.803392084362943182e-01 1.657740225207439064e-03 2.854220966003929494e+00 4.274298359242809098e-02 1.170889629579169311e+00 2.341063967471987972e-01 2.162322372778622542e-05
1.079409352343593920e+00 6.643552919777942663e-03 2.972274833002413352e+00 1.406418716347479329e-02 1.179181317293731324e+00 3.617110691953963064e-01 9.223044182873526555e-04
3.014209668003506315e-01 2.246160654426402042e-03 2.433263974706609378e+00 1.299419582754767974e-02 1.068755335651718319e+00 1.534348153205287169e-01 4.411058816058275380e-05
6.139374212885875259e-01 1.148067408323540138e-03 2.612223355601007935e+00 3.108309219444789495e-02 8.939452974482167136e-01 3.738259883016151197e-01 8.057458939617889444e-05
