17:27:36 [ultranest] [DEBUG] ReactiveNestedSampler: dims=8+0, resume=True, log_dir=inference/simu_double, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
17:27:38 [ultranest] [INFO] Sampling 400 live points from prior ...
17:27:39 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
17:27:39 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
17:27:39 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
17:27:43 [ultranest] [DEBUG] iteration=1138, ncalls=4163, regioncalls=152960, ndraw=40, logz=965.33, remainder_fraction=100.0000%, Lmin=971.95, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1153, ncalls=4272, regioncalls=157440, ndraw=40, logz=966.96, remainder_fraction=100.0000%, Lmin=973.58, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1160, ncalls=4330, regioncalls=159800, ndraw=40, logz=967.75, remainder_fraction=100.0000%, Lmin=974.48, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1170, ncalls=4357, regioncalls=160880, ndraw=40, logz=969.08, remainder_fraction=100.0000%, Lmin=975.84, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1187, ncalls=4472, regioncalls=165760, ndraw=40, logz=970.61, remainder_fraction=100.0000%, Lmin=977.28, Lmax=1021.63
17:27:43 [ultranest] [DEBUG] iteration=1200, ncalls=4536, regioncalls=168520, ndraw=40, logz=971.87, remainder_fraction=100.0000%, Lmin=979.05, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1219, ncalls=4635, regioncalls=172920, ndraw=40, logz=973.92, remainder_fraction=100.0000%, Lmin=980.71, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1233, ncalls=4743, regioncalls=177400, ndraw=40, logz=975.10, remainder_fraction=100.0000%, Lmin=981.84, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1240, ncalls=4778, regioncalls=178800, ndraw=40, logz=975.68, remainder_fraction=100.0000%, Lmin=982.31, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1259, ncalls=4880, regioncalls=183080, ndraw=40, logz=977.32, remainder_fraction=100.0000%, Lmin=984.37, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1276, ncalls=4965, regioncalls=186680, ndraw=40, logz=979.13, remainder_fraction=100.0000%, Lmin=986.08, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1280, ncalls=4986, regioncalls=187520, ndraw=40, logz=979.56, remainder_fraction=100.0000%, Lmin=986.51, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1296, ncalls=5099, regioncalls=192200, ndraw=40, logz=981.08, remainder_fraction=100.0000%, Lmin=987.83, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1306, ncalls=5211, regioncalls=196720, ndraw=40, logz=981.78, remainder_fraction=100.0000%, Lmin=988.23, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1314, ncalls=5337, regioncalls=202080, ndraw=40, logz=982.29, remainder_fraction=100.0000%, Lmin=988.78, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1320, ncalls=5403, regioncalls=204880, ndraw=40, logz=982.62, remainder_fraction=100.0000%, Lmin=989.13, Lmax=1021.63
17:27:44 [ultranest] [DEBUG] iteration=1341, ncalls=5513, regioncalls=209480, ndraw=40, logz=983.92, remainder_fraction=100.0000%, Lmin=990.58, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1350, ncalls=5617, regioncalls=213880, ndraw=40, logz=984.47, remainder_fraction=100.0000%, Lmin=991.02, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1360, ncalls=5735, regioncalls=218680, ndraw=40, logz=985.05, remainder_fraction=100.0000%, Lmin=991.63, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1376, ncalls=5859, regioncalls=223720, ndraw=40, logz=985.97, remainder_fraction=100.0000%, Lmin=992.47, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1390, ncalls=5967, regioncalls=228120, ndraw=40, logz=986.67, remainder_fraction=100.0000%, Lmin=993.29, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1400, ncalls=6059, regioncalls=231880, ndraw=40, logz=987.28, remainder_fraction=100.0000%, Lmin=993.86, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1414, ncalls=6176, regioncalls=236720, ndraw=40, logz=987.95, remainder_fraction=100.0000%, Lmin=994.34, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1430, ncalls=6289, regioncalls=241360, ndraw=40, logz=988.63, remainder_fraction=100.0000%, Lmin=994.91, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1440, ncalls=6364, regioncalls=244520, ndraw=40, logz=988.97, remainder_fraction=100.0000%, Lmin=995.12, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1449, ncalls=6477, regioncalls=249080, ndraw=40, logz=989.26, remainder_fraction=100.0000%, Lmin=995.59, Lmax=1022.26
17:27:45 [ultranest] [DEBUG] iteration=1460, ncalls=6587, regioncalls=253520, ndraw=40, logz=989.70, remainder_fraction=100.0000%, Lmin=996.15, Lmax=1022.26
17:27:46 [ultranest] [DEBUG] iteration=1478, ncalls=6704, regioncalls=258320, ndraw=40, logz=990.55, remainder_fraction=100.0000%, Lmin=997.31, Lmax=1022.26
17:27:46 [ultranest] [DEBUG] iteration=1480, ncalls=6735, regioncalls=259560, ndraw=40, logz=990.65, remainder_fraction=100.0000%, Lmin=997.37, Lmax=1022.26
17:27:46 [ultranest] [DEBUG] iteration=1490, ncalls=6876, regioncalls=265320, ndraw=40, logz=991.11, remainder_fraction=100.0000%, Lmin=997.62, Lmax=1022.26
17:27:46 [ultranest] [DEBUG] iteration=1503, ncalls=6984, regioncalls=269760, ndraw=40, logz=991.65, remainder_fraction=100.0000%, Lmin=998.32, Lmax=1022.26
17:27:46 [ultranest] [DEBUG] iteration=1512, ncalls=7105, regioncalls=274680, ndraw=40, logz=992.05, remainder_fraction=100.0000%, Lmin=998.69, Lmax=1022.26
17:27:46 [ultranest] [DEBUG] iteration=1520, ncalls=7236, regioncalls=280000, ndraw=40, logz=992.36, remainder_fraction=100.0000%, Lmin=998.80, Lmax=1022.26
17:27:46 [ultranest] [DEBUG] iteration=1528, ncalls=7350, regioncalls=284680, ndraw=40, logz=992.67, remainder_fraction=100.0000%, Lmin=999.34, Lmax=1023.29
17:27:46 [ultranest] [DEBUG] iteration=1530, ncalls=7367, regioncalls=285400, ndraw=40, logz=992.75, remainder_fraction=100.0000%, Lmin=999.41, Lmax=1023.29
