α₁ f₁ α₂ variance ν μ c
8.906085622811132918e-01 9.294886806658950174e-03 3.707999368930622097e+00 1.946677153215681799e-01 9.713906254568172027e-01 -1.882052091517311676e-01 1.913057569612815645e-04
8.246012478783097954e-01 1.782117350057188911e-03 2.275784026871721544e+00 1.142521577880887540e-01 9.272845808538398016e-01 4.661174678613921318e-01 6.639645667273978268e-04
8.740221051278512787e-01 8.192330122758958652e-03 3.251427691898087335e+00 9.081043655719667207e-02 1.029074852118138539e+00 3.978364306317456744e-01 1.174497638156645597e-04
9.246807099748903802e-01 1.722687097680567067e-03 2.650249511580954120e+00 4.592676843450309576e-01 1.185082016892979651e+00 -5.094943247610969062e-01 4.857217105225691486e-03
8.095237914640620591e-01 4.114823272098027361e-03 2.455883374088518423e+00 6.273130071431191890e-02 8.932377340607714489e-01 2.217783245615911059e-01 5.370125191861674477e-05
1.161615621678176336e+00 7.925259782551532725e-03 3.128458746470386131e+00 1.564466100573493335e-01 1.096003053654470705e+00 4.795173361600186812e-01 5.835990368542751085e-06
1.229641682492209398e+00 2.426087384661657770e-02 3.305858123639077384e+00 5.348603010373215172e-02 1.151901189427839922e+00 1.298584346335659168e-01 4.293999161856673576e-06
5.119791789461086706e-01 2.385729614403629163e-03 2.990794515993610236e+00 2.659884687310475893e-01 8.041817257464548563e-01 8.754852694919023071e-01 4.288088665801686549e-06
7.653741282844082061e-01 5.405356006936924175e-03 2.866425505939764307e+00 7.978227086596841044e-02 9.194084738351631092e-01 3.814922313158744527e-01 2.641309221397367558e-04
1.123510393566897303e+00 1.458111292157526252e-02 3.791684522023597292e+00 1.137223070632207705e-01 1.083371698475758427e+00 -9.419245049152680238e-02 3.101654899248240231e-06
5.505033292124467126e-01 3.753597295562993361e-03 2.631591812892285276e+00 6.923171875593357727e-02 1.087925604110914435e+00 1.838191747378133400e-01 9.493764796408370087e-06
5.709615862071388825e-01 1.995192778882558509e-03 2.826719853948817196e+00 2.317240187380757155e-01 1.107980922091863718e+00 3.725774298543119700e-01 1.598736200821578675e-03
4.423597233961450437e-01 4.492692887837071609e-03 2.879588373108309174e+00 6.508210944549226717e-02 8.983088901752236399e-01 9.125538474669350752e-02 2.983385410723801414e-06
1.038241367282190408e+00 1.157630316518293116e-02 3.281179450117085672e+00 9.304192857608702127e-02 1.105105843216811268e+00 8.182169002458078433e-02 1.844518266383156325e-04
5.306316668468141762e-01 2.883678733123100184e-03 2.831161942069880588e+00 7.737532956081544233e-02 1.055026546254272279e+00 4.311148316123104562e-01 1.622206436724304350e-04
1.225271898141409910e+00 2.236680700357841431e-02 3.803070166470845059e+00 6.841431831475849878e-02 1.155146317980000559e+00 2.636733408652263133e-01 1.776936535556688810e-05
4.595357536291521106e-01 3.523627764769520811e-03 2.848853089712368281e+00 1.100130528920420514e-01 1.122187389323650919e+00 2.850982366810669855e-01 5.289982111054988378e-05
8.068470565528507166e-01 5.086607871708208155e-03 3.047972125295494106e+00 1.063762629197386872e-01 1.215731365850309276e+00 5.448773681704509597e-01 3.832326595796412295e-06
9.974457191212061646e-01 6.975754606841565522e-03 2.819518686052345569e+00 9.494866345983357658e-02 9.608980829971450754e-01 2.628016263279625564e-02 1.545001029030278563e-05
1.184320994346928169e+00 1.333217146462012913e-02 3.291711359721021246e+00 8.819988342805364090e-02 1.417969096949087460e+00 -2.947699612558504212e-01 7.394420775545000864e-06
6.302783269048801706e-01 1.147320186155527562e-02 3.658761960586868422e+00 4.599092551471038737e-02 1.097348484953568848e+00 1.949397489123876337e-01 9.789489793989429950e-06
1.220559961217101641e+00 1.242620584453716683e-02 3.301369337434077345e+00 1.354886764913333375e-01 1.156357108724502591e+00 2.147186804191408838e-01 3.509400987419571946e-06
4.185768200101026570e-01 1.730987959782974905e-03 2.594245635122015337e+00 1.385049523168426777e-01 1.197620440796166363e+00 3.287994200187809302e-01 8.098169476840307981e-06
8.677904894334606545e-02 4.246012270079423633e-03 3.060654288646720733e+00 7.278367266670708602e-02 1.078965349297998033e+00 2.080686392991337730e-02 2.370347276782937076e-05
5.676485427198999512e-01 4.161835806783539295e-03 2.624117408253696215e+00 4.969447983827830762e-02 8.950267316025007913e-01 3.847178834079988952e-01 5.407629985653374300e-05
