# Simulated light curve
# model: OneBendPowerLaw
# input parameters: A,alpha_1,f_1,alpha_2
# [ 1.         -0.40021394  0.03214472 -2.74496085]
# Fvar:0.25369798523923454
# FoM:12.916329395924251
# seed: 278900
# seed_gaps: 225596
# Time	Value	Error
3.495000000000000000e+02 1.473319619817708981e+00 1.971329030820400882e-02
3.502500000000000000e+02 1.509405979935971587e+00 3.391959551258489497e-02
3.517500000000000000e+02 1.413577413773759783e+00 2.903491272208172727e-02
3.522500000000000000e+02 1.456938496048691078e+00 2.203939991929211584e-02
3.530000000000000000e+02 1.133031676242234331e+00 1.939245949606030126e-02
3.535000000000000000e+02 1.148492100840523999e+00 2.165119037388722398e-02
3.540000000000000000e+02 1.141121646618662444e+00 1.206814622777186395e-02
3.545000000000000000e+02 1.167559069600153876e+00 1.997409024159227039e-02
3.557500000000000000e+02 1.342062568889921259e+00 3.645620447617230198e-02
3.560000000000000000e+02 1.241315961147007929e+00 1.914077946367348168e-02
3.562500000000000000e+02 1.162853322615865714e+00 2.071865029020202725e-02
3.582500000000000000e+02 1.269399413915890173e+00 2.331694078461809400e-02
3.600000000000000000e+02 1.134867136409253963e+00 1.821462599626464535e-02
3.602500000000000000e+02 1.089264451019629654e+00 2.426652753045132477e-02
3.622500000000000000e+02 1.019280611779961321e+00 1.096887962985048336e-02
3.627500000000000000e+02 1.014147903023421504e+00 2.190629693006363246e-02
3.630000000000000000e+02 9.380586060560406336e-01 2.579487031763836799e-02
3.635000000000000000e+02 9.359761532979533616e-01 1.587794490657104887e-02
3.657500000000000000e+02 8.400737587068787260e-01 1.553965258997613667e-02
3.662500000000000000e+02 8.635411073163021811e-01 3.180324757557359550e-02
3.670000000000000000e+02 8.776793734838900241e-01 1.818248847427976489e-02
3.687500000000000000e+02 1.258218420773609569e+00 2.906002833401003654e-02
3.695000000000000000e+02 1.495541862301091429e+00 4.449006079970245497e-02
3.727500000000000000e+02 7.778481224083204637e-01 9.356401819242026949e-03
3.730000000000000000e+02 7.295359199016027141e-01 1.376662684382728118e-02
3.732500000000000000e+02 6.984576784047550335e-01 1.425328622515211092e-02
3.745000000000000000e+02 6.383758613130967596e-01 1.996646516493636239e-02
3.750000000000000000e+02 5.849692537914684687e-01 9.143887855928038363e-03
3.752500000000000000e+02 6.065348526386071804e-01 1.849861569590289037e-02
3.762500000000000000e+02 7.031137054896040572e-01 2.094462704014104712e-02
3.772500000000000000e+02 8.457619667186094814e-01 2.187215597413532525e-02
3.797500000000000000e+02 1.046652340996645503e+00 1.668628791855391452e-02
3.815000000000000000e+02 1.266932303144499450e+00 1.173862845884980459e-02
3.820000000000000000e+02 1.336658052444935407e+00 1.765321554664944781e-02
3.830000000000000000e+02 1.265617357814456723e+00 2.002644492106956178e-02
3.832500000000000000e+02 1.239153000865893306e+00 2.719414098798320079e-02
3.835000000000000000e+02 1.268279526820686121e+00 3.628735897944769528e-02
3.845000000000000000e+02 1.148107580962961727e+00 1.137204271549685335e-02
3.847500000000000000e+02 1.112422428263659890e+00 2.242794150991148094e-02
3.857500000000000000e+02 9.901298760182609682e-01 1.201428740697211422e-02
3.865000000000000000e+02 9.101455467681488498e-01 2.822651460434194570e-02
3.895000000000000000e+02 8.652926933672137055e-01 9.778640179720052977e-03
3.900000000000000000e+02 8.643497930970748255e-01 1.344055281947415317e-02
3.915000000000000000e+02 8.928717840212474499e-01 1.308404777591380685e-02
3.930000000000000000e+02 7.408105453385804839e-01 2.491980575906703813e-02
3.945000000000000000e+02 9.051015515123301824e-01 9.705217978146309099e-03
3.955000000000000000e+02 8.847715741120684152e-01 2.692874691776814267e-02
3.960000000000000000e+02 9.655778442924864979e-01 2.247790758983359699e-02
3.962500000000000000e+02 1.012612360667705769e+00 2.179959851201065599e-02
3.980000000000000000e+02 8.836672287845382945e-01 3.302513834462177111e-02
3.982500000000000000e+02 8.026877910619837353e-01 1.280827747246552316e-02
3.987500000000000000e+02 7.607686899634004130e-01 9.951376669490172994e-03
3.990000000000000000e+02 7.718625600774169371e-01 2.745827631781997541e-02
3.997500000000000000e+02 7.402822387093760392e-01 2.167721149997336658e-02
4.000000000000000000e+02 7.235107599972075976e-01 8.883604994397871144e-03
4.002500000000000000e+02 7.552423949135831371e-01 2.174719311294931456e-02
4.017500000000000000e+02 9.535692306916143668e-01 3.493259691938220557e-02
4.057500000000000000e+02 9.320916018235861911e-01 1.330432393218617705e-02
4.062500000000000000e+02 1.059639854754437227e+00 2.653161591357903679e-02
4.070000000000000000e+02 1.023893344049606524e+00 2.507187547958990986e-02
4.072500000000000000e+02 1.034952632346133106e+00 1.858695020191224526e-02
4.085000000000000000e+02 9.002205777113210239e-01 2.549215231841307078e-02
4.095000000000000000e+02 9.937792470782705889e-01 3.202245115312787882e-02
4.100000000000000000e+02 1.000839515044883443e+00 1.459063858500501271e-02
4.150000000000000000e+02 1.206053565270565731e+00 1.823536677385253699e-02
4.162500000000000000e+02 9.798996456724270443e-01 1.414063158164917226e-02
4.165000000000000000e+02 9.144139544649830809e-01 1.921521114496746799e-02
4.170000000000000000e+02 8.179976176457854908e-01 1.262756926403075901e-02
4.177500000000000000e+02 7.661046000061980665e-01 2.612546709484475996e-02
4.187500000000000000e+02 8.122684789742772304e-01 1.445191147676204435e-02
4.232500000000000000e+02 9.144774104694964878e-01 1.976198556044243826e-02
4.245000000000000000e+02 1.007267547145451081e+00 1.574907068433209836e-02
4.262500000000000000e+02 1.125008835680372465e+00 3.829540631995875105e-02
4.270000000000000000e+02 1.279318490501524241e+00 2.301306415972438624e-02
4.272500000000000000e+02 1.271782134208447212e+00 3.979835812748231533e-02
4.275000000000000000e+02 1.347657199851170828e+00 2.336994979134051145e-02
4.277500000000000000e+02 1.359910005753386830e+00 3.493366359825442191e-02
4.287500000000000000e+02 1.675210850882800306e+00 4.280008036709211788e-02
4.292500000000000000e+02 1.798652275116192412e+00 2.329101557021123411e-02
4.305000000000000000e+02 1.769990262726201635e+00 4.606032958923325649e-02
4.325000000000000000e+02 1.615164865797158900e+00 2.326038206499901270e-02
4.340000000000000000e+02 1.348893708408611225e+00 3.657367375063753229e-02
4.342500000000000000e+02 1.292648526523757946e+00 1.911575214392936123e-02
4.347500000000000000e+02 1.158222354211770888e+00 1.353039552283395210e-02
4.350000000000000000e+02 1.090743479192555654e+00 3.541034891029874038e-02
4.357500000000000000e+02 1.056205620884576257e+00 1.697573167736939406e-02
4.367500000000000000e+02 1.016453170378566195e+00 1.910687490296929941e-02
4.372500000000000000e+02 1.121356857422738162e+00 2.812174606159494397e-02
4.375000000000000000e+02 1.019251477221191582e+00 3.209788085225101506e-02
4.382500000000000000e+02 1.070947071617955215e+00 1.553915595429035054e-02
4.397500000000000000e+02 1.214687700326383624e+00 2.240709259351341548e-02
4.412500000000000000e+02 1.270479616750714857e+00 1.242533117345652818e-02
4.417500000000000000e+02 1.178863881539357283e+00 2.840092273141539211e-02
4.427500000000000000e+02 1.163172470907825717e+00 1.481355572955424769e-02
4.430000000000000000e+02 1.207217014232932373e+00 1.786878960090817342e-02
4.437500000000000000e+02 1.271750166540693172e+00 4.395252812186866559e-02
4.442500000000000000e+02 1.268525118023720699e+00 2.780734035867834034e-02
4.460000000000000000e+02 1.113631545211891671e+00 1.718083274726979123e-02
4.487500000000000000e+02 1.301921635313916692e+00 2.817167503346680590e-02
4.490000000000000000e+02 1.364108822589105152e+00 1.844747083984085018e-02
4.500000000000000000e+02 1.566575790045882099e+00 4.042175675507182070e-02
4.505000000000000000e+02 1.480102168909045890e+00 1.683930271414971203e-02
4.510000000000000000e+02 1.288899264102410180e+00 1.512231781060353886e-02
4.517500000000000000e+02 1.216677763542057589e+00 1.498813199284327810e-02
4.530000000000000000e+02 1.191428865218023825e+00 3.529459561684661351e-02
4.535000000000000000e+02 1.153073214934631885e+00 2.188556993440940804e-02
4.540000000000000000e+02 1.127911346632249678e+00 1.920465499709598720e-02
4.555000000000000000e+02 1.199826738302079976e+00 2.740627064272416896e-02
4.565000000000000000e+02 1.251822595393702997e+00 1.666465969106180334e-02
4.572500000000000000e+02 1.224328934774809197e+00 2.908974270491379924e-02
4.582500000000000000e+02 1.224415542073871599e+00 3.063960858722387590e-02
4.585000000000000000e+02 1.264628001010304148e+00 3.590900403818362424e-02
4.600000000000000000e+02 1.448574755663544877e+00 1.621265234316171533e-02
4.615000000000000000e+02 1.709715518526212286e+00 1.373099082623110978e-02
4.620000000000000000e+02 1.709826046382539877e+00 2.521728096824235252e-02
4.672500000000000000e+02 1.502696077720627299e+00 3.156652143277613454e-02
4.700000000000000000e+02 1.460627840210019235e+00 3.107492982335596787e-02
4.702500000000000000e+02 1.425663744268283573e+00 2.888541560576779119e-02
4.710000000000000000e+02 1.599292811682061277e+00 4.487809966851744742e-02
4.717500000000000000e+02 1.462977939044292297e+00 1.507266375744101446e-02
4.720000000000000000e+02 1.486110959750618798e+00 2.148142307326931372e-02
4.740000000000000000e+02 1.452879780258075071e+00 2.259403435119872877e-02
4.745000000000000000e+02 1.446139081746665056e+00 2.085164425505165245e-02
4.760000000000000000e+02 1.646362366902007102e+00 4.130031960407007374e-02
4.775000000000000000e+02 1.423484061327124461e+00 2.678929648885059953e-02
4.795000000000000000e+02 1.208241186292545732e+00 3.514203314172451714e-02
4.800000000000000000e+02 1.210046305209957040e+00 1.931314531672256168e-02
4.805000000000000000e+02 1.153427657201494982e+00 1.557795568484284139e-02
4.820000000000000000e+02 1.002757348143842764e+00 1.155277550339935816e-02
4.827500000000000000e+02 1.002447077431172229e+00 2.155555922289246334e-02
4.835000000000000000e+02 9.166111836044438244e-01 1.310526442639618934e-02
4.837500000000000000e+02 8.880829549918793919e-01 1.471114186106173456e-02
4.850000000000000000e+02 1.037891929386416834e+00 2.615527573971384440e-02
4.862500000000000000e+02 1.062763173690194574e+00 1.193330710730189891e-02
4.865000000000000000e+02 1.120665268169301010e+00 1.440686621588662189e-02
4.867500000000000000e+02 1.157991419637679043e+00 2.924138552237232763e-02
4.875000000000000000e+02 1.202537577192547724e+00 1.258043466994674016e-02
4.885000000000000000e+02 1.162921445728762215e+00 2.199838278823292720e-02
4.887500000000000000e+02 1.225478203592172743e+00 1.659682775693708048e-02
4.910000000000000000e+02 1.158120718504550117e+00 3.747668007678155860e-02
4.920000000000000000e+02 1.111776639259288491e+00 2.176938411409462537e-02
4.952500000000000000e+02 8.100461562630382195e-01 2.412248212753250604e-02
4.967500000000000000e+02 6.288278511988956154e-01 8.400421370841801641e-03
4.977500000000000000e+02 5.843182834940332526e-01 1.209296017455750369e-02
4.982500000000000000e+02 5.328876283715997531e-01 9.459530992885574821e-03
4.992500000000000000e+02 5.039500621207994024e-01 1.945042064704215548e-02
5.002500000000000000e+02 5.158240867372696492e-01 1.247267125992174326e-02
5.007500000000000000e+02 5.749683625505901396e-01 2.328931559649680474e-02
5.030000000000000000e+02 8.219066119913183144e-01 9.430711759218826304e-03
5.032500000000000000e+02 7.904939537994261078e-01 1.440781948134686394e-02
5.037500000000000000e+02 8.304490591852516923e-01 3.359966328763760307e-02
5.042500000000000000e+02 7.937976584756759602e-01 1.140434411468207836e-02
5.065000000000000000e+02 1.049657645202419332e+00 3.140464696396640110e-02
5.067500000000000000e+02 1.053570387250536866e+00 1.448327298788869288e-02
5.072500000000000000e+02 1.075934413388442312e+00 3.382691238079411911e-02
5.075000000000000000e+02 1.073763707095264808e+00 3.601070587935073508e-02
5.095000000000000000e+02 1.037666200629745905e+00 1.189074135597344845e-02
5.100000000000000000e+02 1.029050952788431950e+00 1.402455093050454689e-02
5.105000000000000000e+02 1.036239322722714018e+00 1.100501629578393842e-02
5.107500000000000000e+02 1.044092969007640814e+00 2.355381020365835201e-02
5.110000000000000000e+02 1.011630200388629497e+00 1.840907399675103043e-02
5.112500000000000000e+02 9.884661200351723132e-01 1.499590658141577125e-02
5.125000000000000000e+02 9.097847180191159788e-01 2.248882011066627093e-02
5.135000000000000000e+02 1.066919049713307865e+00 1.076332025011934000e-02
5.142500000000000000e+02 1.068062301927383828e+00 2.821422820337878348e-02
5.160000000000000000e+02 1.206533805325600284e+00 3.212819780265168540e-02
5.162500000000000000e+02 1.335920961227973436e+00 2.146632903187336780e-02
5.200000000000000000e+02 8.913903131368393629e-01 3.171745900031273241e-02
5.205000000000000000e+02 8.608590668777669208e-01 2.751995400510390266e-02
5.222500000000000000e+02 8.584437896102002918e-01 1.535339793989723249e-02
5.247500000000000000e+02 9.937655242869244399e-01 1.775276563940616018e-02
5.257500000000000000e+02 1.053604044315899824e+00 1.340301330940710765e-02
5.275000000000000000e+02 1.050634602880152757e+00 2.068935626850662915e-02
5.277500000000000000e+02 1.116926019179121043e+00 1.057181838967876514e-02
5.282500000000000000e+02 1.103980332914459295e+00 3.332495702141435173e-02
5.287500000000000000e+02 1.160986319507129494e+00 1.242279034418431773e-02
5.290000000000000000e+02 1.096834422860989200e+00 2.447386166651153994e-02
5.302500000000000000e+02 1.106615123644800969e+00 1.492359291696102909e-02
5.307500000000000000e+02 1.180066764770742793e+00 1.604175946502742547e-02
5.310000000000000000e+02 1.178120115085708797e+00 1.599444114388659174e-02
5.315000000000000000e+02 1.276696648805175416e+00 4.315469210491230251e-02
5.320000000000000000e+02 1.301568071560816442e+00 2.017449204782058650e-02
5.330000000000000000e+02 1.349080248615735611e+00 1.437519468858380021e-02
5.340000000000000000e+02 1.129940059268599306e+00 2.334441034549378235e-02
5.360000000000000000e+02 1.411782486543209592e+00 2.941264117644136478e-02
5.372500000000000000e+02 1.212765350782965657e+00 1.813824822069336554e-02
5.375000000000000000e+02 1.149494309923665414e+00 1.530779139483275965e-02
5.377500000000000000e+02 1.201815878411638838e+00 3.165850716226827066e-02
5.400000000000000000e+02 8.374419183457706417e-01 2.270302024518108461e-02
5.402500000000000000e+02 9.066109387494881711e-01 1.517142958918523028e-02
5.407500000000000000e+02 9.702161659636446833e-01 3.074336726439990536e-02
5.412500000000000000e+02 9.759809244321486776e-01 1.028725284730248705e-02
5.417500000000000000e+02 1.010001076603444625e+00 1.361406627871416218e-02
5.422500000000000000e+02 1.041345251554458562e+00 3.142625870301040542e-02
