weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -1.991198198143426907e+03 1.476854832885942104e-01 5.678456320342559760e-01 5.464740077770534610e-01 1.473034426252540774e-01 1.753670846022026275e-01 2.103739606279433350e-01 8.410679824158404649e-01 4.135791776333541669e-02
0.000000000000000000e+00 -1.664221955225488728e+03 8.152136611476734629e-04 7.140825624500618529e-01 8.620552505836219792e-01 1.330039493544050710e-01 5.663941588998447907e-01 3.533433028959552802e-01 2.941086792892845247e-01 7.483936073034109793e-01
0.000000000000000000e+00 -1.640413066461890139e+03 2.729007845437836366e-04 8.804044993078219417e-02 9.081722277994086490e-02 8.258025667911970125e-01 1.213243752069588233e-01 1.366051100018428333e-02 5.137481921410415042e-01 3.095234206310104597e-01
0.000000000000000000e+00 -1.489350725498958582e+03 1.888128484862193757e-01 8.062130369215362302e-01 8.249880628941942406e-01 5.035874091282662723e-01 4.497176548016111886e-01 4.082600047048201564e-01 7.379598899352537433e-01 1.184016115740280650e-01
0.000000000000000000e+00 -1.447493745847199762e+03 3.787459531969084026e-01 7.693908767058290632e-01 3.638583793520597798e-01 9.499751820597156504e-01 7.260780213708999398e-01 2.688457102296027967e-01 9.577587162671656884e-01 9.251609298961297467e-01
0.000000000000000000e+00 -1.426304175216106159e+03 1.203626010572247385e-01 5.664420511592470620e-01 3.206350466938044930e-01 2.811421643343379184e-01 5.428667529701962646e-01 5.363867945492117872e-02 7.966145558326591658e-01 6.932931956717303112e-01
0.000000000000000000e+00 -1.355565229016543071e+03 1.541126640725181129e-01 7.514035944938989298e-01 4.064387158751274765e-01 2.633679112998345007e-01 9.291495644257380393e-01 8.047107041119835324e-01 6.514739655698986720e-01 9.577006487837069759e-01
0.000000000000000000e+00 -1.206857946071661900e+03 2.616242020202825813e-01 8.058620198200708851e-01 5.370120036237613359e-01 9.206132867376777273e-01 2.135729136089209446e-01 5.774179986881331494e-01 6.425969816341252638e-01 4.526518362049014588e-02
0.000000000000000000e+00 -1.087513557355545800e+03 3.718902826766093961e-01 9.581571184811142894e-01 5.714236676638739798e-01 2.640040550298575761e-01 5.751389097833785602e-01 2.748466913965755820e-01 6.509645670829110609e-01 8.534689236650244704e-01
0.000000000000000000e+00 -1.001839204740419177e+03 1.537702412251934492e-01 6.504536910848526254e-01 9.265774258510096617e-01 8.291208403037371166e-01 7.372770522351559386e-01 2.807482479796943320e-01 2.873026267392287947e-01 8.200260485805205279e-01
0.000000000000000000e+00 -9.231211137951206638e+02 3.606172049692376591e-01 9.303593019363508576e-01 2.700721249572697324e-01 8.356337033465430775e-01 6.828801129845818441e-01 2.439365735608375330e-01 6.555563956300520800e-01 8.087899038489592130e-01
0.000000000000000000e+00 -9.172105182631050866e+02 7.575196902311920333e-02 8.778468522913752681e-01 8.198125631776465028e-02 5.175455854247867915e-01 6.886603629789650460e-01 7.469479746553834287e-01 7.896430719383532582e-01 8.565321478925170817e-01
0.000000000000000000e+00 -8.760025936372571778e+02 7.830711898889014533e-01 6.611211619773205150e-02 8.601914856613769311e-01 4.417031709070516898e-01 8.939407827369120207e-01 4.597567063711055502e-01 3.318303783194087586e-02 7.886845750821764867e-01
0.000000000000000000e+00 -8.544589846160992010e+02 2.349372087586065749e-01 6.719367975182263253e-01 8.697265873223039012e-01 9.509542706601444850e-01 6.072680318304130020e-01 1.391036386462340957e-02 4.844743993583633390e-02 5.848910217514315946e-01
0.000000000000000000e+00 -8.476562754170248581e+02 1.081960215630599631e-01 7.002245426125885963e-01 5.771117919571722155e-02 7.632384846284879787e-01 8.802683183055987071e-01 3.272502541668055320e-01 1.083842565795807289e-01 6.986544511664293244e-01
0.000000000000000000e+00 -8.406269812938965060e+02 4.297278763733468621e-01 9.718220145322455927e-01 7.650167949687913804e-02 1.643227436260793484e-01 2.567168191716224790e-01 9.879844396330702549e-01 6.485460924545515260e-01 7.261277075180445628e-01
0.000000000000000000e+00 -8.351942306738683328e+02 1.172421253144166897e-01 7.100313415917866022e-01 1.199558897156405290e-02 5.785592149770932835e-01 2.496754880893625739e-02 3.323734793336967641e-01 5.234332762102201775e-01 8.342309353843047059e-01
0.000000000000000000e+00 -8.190735987466672441e+02 5.310160411398012759e-02 5.794783304502062471e-01 3.990547361884145827e-01 7.729135719140949323e-01 8.605796641128238278e-02 8.693546141464145727e-01 2.862406298667297122e-02 9.655369311448892544e-01
0.000000000000000000e+00 -7.801877811764808257e+02 2.061203742046254783e-01 9.566200591519703478e-01 5.354051335480958240e-01 2.261764571111813948e-01 1.354420535424013528e-01 4.539718658043456756e-01 1.377089500817058054e-01 7.771841710673345061e-01
