logz logzerr logvol nlive logl logwt insert_order
-1.361627943303234360e+03 7.874618027693638567e+01 -7.250000000000002276e-02 4.000000000000000000e+02 -1.206857946071661900e+03 -1.212923160358353243e+03 5.250000000000000222e-01
-1.212923160358353243e+03 1.301468759002289062e+02 -7.500000000000002498e-02 4.000000000000000000e+02 -1.087513557355545800e+03 -1.093581271642237198e+03 1.254999999999999893e+00
-1.093581271642237198e+03 9.882208629331390171e+01 -7.750000000000002720e-02 4.000000000000000000e+02 -1.001839204740419177e+03 -1.007909419027110516e+03 1.695000000000000062e+00
-1.007909419027110516e+03 1.197628396227896275e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -9.231211137951206638e+02 -9.291938280818119438e+02 5.200000000000000178e-01
-9.291938280818119438e+02 5.187029675935799133e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -9.172105182631050866e+02 -9.232857325497964212e+02 1.340000000000000080e+00
-9.232830188780542358e+02 2.277717843991570135e+01 -8.500000000000003386e-02 4.000000000000000000e+02 -8.760025936372571778e+02 -8.820803079239484532e+02 5.749999999999999556e-01
-8.820803079239484532e+02 3.584153298498483053e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -8.544589846160992010e+02 -8.605391989027905311e+02 1.300000000000000044e+00
-8.605391989023491988e+02 2.347770648569234453e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -8.476562754170248581e+02 -8.537389897037161290e+02 1.254999999999999893e+00
-8.537378767810723730e+02 2.559425960970487068e+01 -9.250000000000004052e-02 4.000000000000000000e+02 -8.406269812938965060e+02 -8.467121955805878315e+02 1.499999999999999944e-02
-8.467113072134145568e+02 2.177771551742351974e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -8.351942306738683328e+02 -8.412819449605595992e+02 1.175000000000000044e+00
-8.412775686585526955e+02 2.210484694730603650e+01 -9.750000000000004496e-02 4.000000000000000000e+02 -8.190735987466672441e+02 -8.251638130333585650e+02 1.459999999999999964e+00
-8.251638129329236335e+02 8.885185311253808393e+00 -1.000000000000000472e-01 4.000000000000000000e+02 -7.801877811764808257e+02 -7.862804954631720875e+02 2.800000000000000266e-01
-7.862804954631720875e+02 2.603895911451421341e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -7.527447246637912031e+02 -7.588399389504825194e+02 5.500000000000000028e-02
-7.588399389504812689e+02 3.031328366265235275e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -7.517337302713629015e+02 -7.578314445580541587e+02 1.715000000000000080e+00
-7.575204602805600871e+02 7.503756228923045057e+00 -1.075000000000000538e-01 4.000000000000000000e+02 -7.410632829850923144e+02 -7.471634972717836263e+02 1.549999999999999989e-01
-7.471634655014908049e+02 4.565654399454942336e+00 -1.100000000000000561e-01 4.000000000000000000e+02 -7.188435119449607100e+02 -7.249462262316520764e+02 5.949999999999999734e-01
-7.249462262314275449e+02 1.249377089991178558e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -7.166099366048462116e+02 -7.227151508915375189e+02 1.229999999999999982e+00
-7.226131243509970545e+02 6.295931327799335619e+00 -1.150000000000000605e-01 4.000000000000000000e+02 -6.975601072674159013e+02 -7.036678215541072632e+02 1.564999999999999947e+00
-7.036678215481895222e+02 9.052606801244296619e+00 -1.175000000000000627e-01 4.000000000000000000e+02 -6.693475712505165802e+02 -6.754577855372078830e+02 1.820000000000000062e+00
-6.754577855372073145e+02 2.069746471666077881e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -6.656478004346890884e+02 -6.717605147213804457e+02 5.000000000000000278e-02
-6.717360259405992338e+02 1.528138404213279067e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -6.501678881624218320e+02 -6.562831024491131302e+02 9.250000000000000444e-01
