α₁ f₁ α₂ f₂ α₃ variance ν μ
4.852619428580179917e-01 4.267754944882541472e-03 2.770594093023613702e+00 1.759453431526047273e+00 3.251325854238330315e+00 1.999216988946734067e-02 1.281520909713634637e+00 3.907202299613844465e-01
7.918521992090805650e-01 4.242823391537651860e-03 2.716724973071364957e+00 3.524817753979833101e-01 3.600227255050135966e+00 1.978485769366673461e-02 1.041656773554814119e+00 2.516786624591550448e-01
9.257621061619591973e-01 1.714240384928621434e-03 2.438837454293371731e+00 3.807254630934000517e-01 3.162575002078869879e+00 1.775995024755636087e-02 9.948367771767581136e-01 -5.034733796233525904e-02
7.090385160975737344e-01 2.369610285693933647e-03 2.769649985208141096e+00 4.816504688016984975e-02 3.135356250138589651e+00 4.415189949897920657e-02 1.100601647727294852e+00 -6.332847581916490887e-01
8.567816136121351178e-01 5.644867751243214798e-03 2.833283647791427384e+00 4.864553349166923779e-02 3.146463480225106579e+00 2.544417536193598756e-02 1.079296594888509375e+00 3.787758402101288890e-01
1.221830135495922232e+00 1.708457775470660980e-02 3.063617011681885494e+00 1.084880889307036966e+00 3.883370264559439011e+00 7.425426906584616134e-03 1.123597094832869514e+00 5.080665298828390686e-03
4.147436172290629441e-01 1.701537970287399183e-03 1.839212913836116847e+00 1.649698830766745811e-02 3.210917953071496633e+00 1.550514355913913851e-02 1.022879199485796642e+00 2.908795904555765977e-01
3.565382642710639982e-01 1.867150281309857282e-03 2.116302709710669028e+00 1.851932578840549334e-02 2.687972620715181726e+00 1.228575995040294931e-02 1.232980286753318611e+00 9.338076442924159171e-02
1.161707834491421343e+00 2.490930199325405280e-03 1.637949114251296745e+00 8.462240601464695103e-03 3.235863099485702499e+00 2.024270235337262760e-02 1.076951761990234901e+00 8.366209550498998615e-01
1.198700750054966679e+00 6.320852337537760830e-03 2.190199601986486222e+00 1.824643131568842377e-02 3.253571061077555449e+00 1.323505627838080304e-02 1.158616285028022164e+00 8.613435247515679460e-01
7.490870860417226940e-01 4.285210252873228667e-03 2.893260289920689843e+00 2.090049913935274617e+00 3.387906519403963035e+00 2.357853454104476623e-02 1.282831361103216272e+00 5.251555616236884827e-01
1.600670936902828245e-01 1.846917726364026438e-03 2.681172116750517365e+00 4.101300242733159074e+00 3.215537365973968775e+00 2.606745164862069031e-02 1.061441621481073128e+00 3.470568912552822183e-01
7.867204411627597427e-01 8.765549661569990714e-03 2.533944813660258255e+00 4.606239541261367143e-02 3.913577654662596217e+00 1.205238071648365682e-02 1.187090065150763651e+00 2.448322840315913795e-01
1.785883870831983522e-01 7.792001920433771524e-04 2.330369161692982694e+00 9.161347220538293423e-02 2.639274071621306117e+00 1.956876562693414534e-02 1.226075298158473270e+00 2.880878155907064531e-01
1.009711891992276511e-01 1.378587358140657883e-03 2.664153177691753527e+00 2.261698898499731047e+00 3.698240971463197191e+00 3.543819262682570970e-02 1.137715244271645387e+00 6.981031654835023748e-01
6.082642934665642986e-01 3.546012610534229371e-03 1.583537365918629369e+00 1.012579944556952181e-02 3.205144699754868043e+00 1.054384623246868054e-02 1.195037088409810488e+00 8.339137572450416869e-03
8.660504876675174657e-01 6.401365987821939921e-04 1.495422371839270959e+00 1.486601306868043197e-02 3.023100815048449519e+00 9.938725238272541271e-03 1.224453238018889722e+00 2.264998265917696485e-01
1.571018940592500135e-02 2.622191851449392607e-03 2.049196477244791037e+00 2.901694767001121097e-02 3.608689105429056188e+00 1.735623114751076723e-02 1.247773012182146868e+00 1.681721440272058721e-01
7.583326456395875770e-01 1.356921002039538108e-03 2.342140652545936952e+00 6.782120671290935154e-02 3.932948854133193173e+00 2.115083551231879133e-02 1.306544792668102639e+00 1.334715877338086276e-01
6.149419022244784205e-01 1.165891177222742403e-03 2.538703840999344763e+00 1.127952455880738336e+00 2.992945869672925863e+00 2.727445955963559571e-02 1.076682122979799816e+00 4.682281457159760407e-01
1.785883870831983522e-01 7.792001920433771524e-04 2.330369161692982694e+00 9.161347220538293423e-02 2.639274071621306117e+00 1.956876562693414534e-02 1.226075298158473270e+00 2.880878155907064531e-01
2.065262292010054679e-01 3.142189329684553622e-03 1.975935031131772046e+00 1.350180117770900801e-02 3.292544113401665307e+00 1.306380229414539663e-02 1.072077413417321656e+00 2.519718449466759602e-01
