weight logl α₁ f₁ α₂ f₂ α₃ variance ν μ
0.000000000000000000e+00 -1.087513557355545800e+03 4.648628533457617173e-01 6.443368522811979027e+00 2.484923887381728758e+00 7.236155997199704260e+00 3.356303111031840647e+00 2.136480493781020909e-02 1.111423474885750551e+00 1.486622306593349041e+00
0.000000000000000000e+00 -1.001839204740419177e+03 1.922128015314918115e-01 2.543146515340800606e-01 3.720422462076869774e+00 5.339630457434689781e+00 3.926548565107997657e+00 2.190323632729307066e-02 5.313637754968064675e-01 1.334870003456329002e+00
0.000000000000000000e+00 -9.231211137951206638e+02 4.507715062115470461e-01 4.811710199632575957e+00 1.409319187487884317e+00 8.867082296811116038e+00 3.178443593443145865e+00 1.866633438410989637e-02 1.121011082422841421e+00 1.287971886422121237e+00
0.000000000000000000e+00 -9.172105182631050866e+02 9.468996127889900416e-02 2.771646980620857015e+00 4.148521845636329863e-01 5.384513208325737210e+00 2.883801380475285114e+00 1.274964959554775734e-01 1.463382812139117473e+00 1.501623169116844014e+00
0.000000000000000000e+00 -8.760025936372571778e+02 9.788389873611268444e-01 5.490449013140291049e-04 3.577615967245189044e+00 4.182506062405270952e-02 3.955202280101598244e+00 4.315739183320697891e-02 1.413802091745170464e-01 1.208079216415074431e+00
0.000000000000000000e+00 -8.544589846160992010e+02 2.936715109482582187e-01 3.186964398365746409e-01 3.517163939226660485e+00 8.444949246056321357e+00 3.810374843549236168e+00 2.218344299679039962e-03 1.745462476685291919e-01 5.524185719491596647e-01
0.000000000000000000e+00 -8.476562754170248581e+02 1.352450269538249539e-01 4.289688653791842166e-01 3.582845937508320477e-01 4.744725079341046481e+00 3.563971290157377236e+00 2.643973800318111592e-02 2.791716359161430239e-01 8.940785753967610550e-01
0.000000000000000000e+00 -8.406269812938965060e+02 5.371598454666836053e-01 7.437931300167600845e+00 8.020729331177147703e-01 7.808641706634115387e+00 1.623034597670571344e+00 1.210893646817394087e+00 1.106414183844447674e+00 9.840480864684800766e-01
0.000000000000000000e+00 -8.351942306738683328e+02 1.465526566430208621e-01 4.755151333952431503e-01 1.927770270974966393e-01 2.770148826935721953e+00 2.878340524999433159e-01 2.697416161324703299e-02 8.771585280523961359e-01 1.396877509864931088e+00
0.000000000000000000e+00 -8.190735987466672441e+02 6.637700514247515948e-02 1.206652229675031773e-01 1.636107891620026233e+00 3.667358245075980960e+00 1.839539639282885553e+00 2.438140318454055100e-01 1.303713804161709955e-01 2.343221860046568850e+00
0.000000000000000000e+00 -7.801877811764808257e+02 2.576504677557818201e-01 6.340170158640459519e+00 2.261323618850651584e+00 7.028473762123812030e+00 2.496813518359190187e+00 4.227627691757893796e-02 3.236500055499301753e-01 1.164385724723067561e+00
0.000000000000000000e+00 -7.527447246637912031e+02 2.062080353848119718e-01 4.606093984749799475e-01 1.419745489279705231e+00 8.033370293502416715e+00 3.877597157196611910e+00 1.217795675456818882e+00 1.622559773037795861e+00 -8.886801230240976013e-01
0.000000000000000000e+00 -7.517337302713629015e+02 9.359172957584302455e-02 4.497664353267561310e+00 8.837045261106909466e-01 9.350018153749376282e+00 2.527194646553725832e+00 3.400104456726422142e-01 1.555904157827401102e+00 1.226646648994223376e+00
0.000000000000000000e+00 -7.410632829850923144e+02 6.889252661839123659e-02 2.492580553033182586e-02 1.922550898209702819e+00 5.669708607728177752e-01 3.733225174695016246e+00 2.579055860836456521e-02 8.899344830806493745e-01 2.110064987470277931e+00
0.000000000000000000e+00 -7.188435119449607100e+02 3.287562800864654577e-01 2.452556528154856696e-01 6.723696346742624730e-01 1.527237525989372458e+00 1.790088922051279896e+00 8.721698952871898003e-01 1.663652312901002794e-01 -1.381267013686659162e+00
0.000000000000000000e+00 -7.166099366048462116e+02 1.288666680934497100e-02 4.842837288414786889e-01 4.776479609104635760e-01 6.483792626055860930e-01 1.305206948692640978e+00 5.888872012417828428e-01 1.083282340681742451e+00 -4.155327572095450783e-01
0.000000000000000000e+00 -6.975601072674159013e+02 5.861692298345523300e-01 2.367126862466371495e+00 7.161885262429930066e-01 2.498644847081158638e+00 8.084918275319418202e-01 4.459686142078025939e-01 1.459509153859197550e-01 6.537064830878548394e-01
0.000000000000000000e+00 -6.693475712505165802e+02 1.092397281108142826e-01 7.371541511194282137e+00 3.884666114469607301e+00 9.081669664848115886e+00 3.923724295904461812e+00 3.402561318772948651e-01 2.366130140425152018e+00 5.171878138544170334e-01
0.000000000000000000e+00 -6.656478004346890884e+02 4.073630639895045591e-01 7.395994324134793629e+00 3.287282459105006716e+00 8.367656450430979831e+00 3.388058374491229152e+00 5.562941402059092821e-01 4.491880066517540127e-01 3.611975015032153902e-02
0.000000000000000000e+00 -6.501678881624218320e+02 1.607415619691783537e-01 4.459372040735722464e+00 3.596564271744781660e+00 6.940877279258420351e+00 3.878504352807589317e+00 5.709066678764078417e-02 6.094595919642616932e-01 9.849123457063486686e-01
0.000000000000000000e+00 -6.311324767478907916e+02 1.041116746077143385e-01 7.239454892957224441e-01 9.615437772998443045e-01 4.751807115338722021e+00 3.067133790590753861e+00 6.170361448486022526e-01 2.358008162278959485e+00 -2.397945781261020537e-01
0.000000000000000000e+00 -6.184962133192342435e+02 4.291918955020356252e-01 1.009508840594991241e+00 3.812319718903150800e+00 1.294505623774924841e+00 3.900004968575832454e+00 7.684964534570427712e-03 1.377792948398543382e+00 9.178403052875560020e-01
0.000000000000000000e+00 -5.964362469558086559e+02 4.058234396209419170e-01 6.192433075757755034e+00 2.961519642628537063e+00 8.766287829786238106e+00 3.292534293641847576e+00 4.747433154276176070e-01 8.084257979859861276e-01 6.794197364469533040e-01
0.000000000000000000e+00 -5.950099696360493908e+02 3.234021681490427680e-01 5.216907672719928862e-02 1.391527980347689208e+00 8.939697176434599157e+00 2.758458920096512390e+00 1.216418667770227113e+00 8.357365946008848967e-02 4.033298930537255744e-01
0.000000000000000000e+00 -5.835778239357971415e+02 2.805098384322378680e-01 2.295313901794478362e+00 6.117825155310789853e-01 6.122335682829553427e+00 1.267503647042541814e+00 7.763692988404198581e-02 2.647253836119639603e-01 1.207093255368732798e+00
0.000000000000000000e+00 -5.714757010335631549e+02 1.027238839347133226e-02 9.581076151205602187e+00 5.596035357643597274e-01 9.889081747881634854e+00 3.306319956280020733e+00 1.705534719715100234e-01 1.790428887253572521e+00 5.578137480472413756e-01
0.000000000000000000e+00 -5.703567095632968176e+02 5.987366822215534068e-01 7.189512531553435282e-02 1.261914223445949945e+00 4.386268971216434331e-01 2.814228245177465837e+00 1.988366993892879114e-03 7.738639890631666685e-01 1.293496537645969502e+00
0.000000000000000000e+00 -5.679024755158678772e+02 8.944157299346973122e-01 3.962098456963859316e+00 1.615486116428760610e+00 6.424031227748608686e+00 2.547154361193152639e+00 1.034602472796403161e+00 1.234669705469166878e+00 -1.723597781604719881e+00
0.000000000000000000e+00 -5.390154512630308545e+02 1.936473250836392990e-01 1.543716385430743188e+00 1.580639219606329249e+00 2.784668652062241012e+00 1.590295035099912990e+00 3.414184881758530743e-01 3.626954808363481719e-01 4.992391790535102292e-01
0.000000000000000000e+00 -5.263901254500524374e+02 4.901290908273804314e-01 4.445696442164272510e-01 1.758258065006411464e+00 2.840313641846066162e+00 2.469598900745319181e+00 8.029708145778335915e-01 2.520400758913075467e+00 1.220060739799736726e+00
0.000000000000000000e+00 -4.707754659991524022e+02 9.947370607472222348e-03 1.325464602037253322e-03 4.631350689680994170e-01 2.413505340359358570e-03 3.341074886211889527e+00 5.123578185003612590e-02 7.922535120154591826e-02 9.277744052514571571e-01
0.000000000000000000e+00 -4.646264644814849021e+02 2.332290828437649788e-01 9.980845531267045889e-04 1.007189872132158825e+00 3.723404377175090652e+00 2.389727148236329590e+00 6.878109691362831457e-01 1.231744401284425861e+00 1.383910744389441394e+00
0.000000000000000000e+00 -4.616286351867578333e+02 4.113731392531306819e-01 5.386807036554437829e-03 5.752255539783761584e-01 1.341718580926950954e+00 3.488932074326563715e+00 5.458138716633099685e-01 1.318769927703322686e+00 3.075571010897277802e-01
