18:59:49 [ultranest] [DEBUG] ReactiveNestedSampler: dims=9+0, resume=True, log_dir=inference/simu_periodic_rednoise_123_factor, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
18:59:52 [ultranest] [INFO] Sampling 400 live points from prior ...
18:59:53 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
18:59:53 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
18:59:53 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
18:59:56 [ultranest] [DEBUG] iteration=840, ncalls=2556, regioncalls=86640, ndraw=40, logz=699.27, remainder_fraction=100.0000%, Lmin=707.43, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=857, ncalls=2651, regioncalls=90440, ndraw=40, logz=706.49, remainder_fraction=100.0000%, Lmin=713.75, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=878, ncalls=2750, regioncalls=94400, ndraw=40, logz=718.10, remainder_fraction=100.0000%, Lmin=725.30, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=880, ncalls=2756, regioncalls=94640, ndraw=40, logz=718.74, remainder_fraction=100.0000%, Lmin=725.73, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=899, ncalls=2865, regioncalls=99000, ndraw=40, logz=728.10, remainder_fraction=100.0000%, Lmin=736.10, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=913, ncalls=2967, regioncalls=103080, ndraw=40, logz=734.75, remainder_fraction=100.0000%, Lmin=741.85, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=920, ncalls=3007, regioncalls=104720, ndraw=40, logz=736.65, remainder_fraction=100.0000%, Lmin=744.09, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=940, ncalls=3125, regioncalls=109480, ndraw=40, logz=745.65, remainder_fraction=100.0000%, Lmin=752.94, Lmax=916.79
18:59:56 [ultranest] [DEBUG] iteration=958, ncalls=3227, regioncalls=113600, ndraw=40, logz=753.85, remainder_fraction=100.0000%, Lmin=760.98, Lmax=916.79
18:59:57 [ultranest] [DEBUG] iteration=960, ncalls=3241, regioncalls=114160, ndraw=40, logz=754.37, remainder_fraction=100.0000%, Lmin=761.94, Lmax=916.79
18:59:57 [ultranest] [DEBUG] iteration=978, ncalls=3346, regioncalls=118360, ndraw=40, logz=760.73, remainder_fraction=100.0000%, Lmin=767.96, Lmax=916.79
18:59:57 [ultranest] [DEBUG] iteration=991, ncalls=3437, regioncalls=122000, ndraw=40, logz=767.86, remainder_fraction=100.0000%, Lmin=775.41, Lmax=916.79
18:59:57 [ultranest] [DEBUG] iteration=1000, ncalls=3508, regioncalls=124840, ndraw=40, logz=771.51, remainder_fraction=100.0000%, Lmin=778.73, Lmax=916.79
18:59:57 [ultranest] [DEBUG] iteration=1014, ncalls=3616, regioncalls=129160, ndraw=40, logz=775.60, remainder_fraction=100.0000%, Lmin=782.96, Lmax=916.79
18:59:57 [ultranest] [DEBUG] iteration=1028, ncalls=3726, regioncalls=133560, ndraw=40, logz=780.72, remainder_fraction=100.0000%, Lmin=788.38, Lmax=916.79
18:59:57 [ultranest] [DEBUG] iteration=1040, ncalls=3845, regioncalls=138400, ndraw=40, logz=785.02, remainder_fraction=100.0000%, Lmin=792.82, Lmax=916.79
18:59:57 [ultranest] [DEBUG] iteration=1057, ncalls=3950, regioncalls=142680, ndraw=40, logz=788.99, remainder_fraction=100.0000%, Lmin=796.64, Lmax=917.08
18:59:57 [ultranest] [DEBUG] iteration=1075, ncalls=4053, regioncalls=146840, ndraw=40, logz=794.52, remainder_fraction=100.0000%, Lmin=802.08, Lmax=917.08
18:59:57 [ultranest] [DEBUG] iteration=1080, ncalls=4085, regioncalls=148120, ndraw=40, logz=795.98, remainder_fraction=100.0000%, Lmin=804.38, Lmax=917.08
18:59:57 [ultranest] [DEBUG] iteration=1099, ncalls=4185, regioncalls=152120, ndraw=40, logz=801.95, remainder_fraction=100.0000%, Lmin=809.26, Lmax=919.45
18:59:58 [ultranest] [DEBUG] iteration=1111, ncalls=4295, regioncalls=156520, ndraw=40, logz=804.89, remainder_fraction=100.0000%, Lmin=811.87, Lmax=919.45
18:59:58 [ultranest] [DEBUG] iteration=1120, ncalls=4378, regioncalls=159840, ndraw=40, logz=806.73, remainder_fraction=100.0000%, Lmin=814.58, Lmax=920.46
18:59:58 [ultranest] [DEBUG] iteration=1131, ncalls=4505, regioncalls=164920, ndraw=40, logz=809.53, remainder_fraction=100.0000%, Lmin=816.55, Lmax=920.46
18:59:58 [ultranest] [DEBUG] iteration=1149, ncalls=4629, regioncalls=169880, ndraw=40, logz=813.44, remainder_fraction=100.0000%, Lmin=820.95, Lmax=920.46
18:59:58 [ultranest] [DEBUG] iteration=1158, ncalls=4768, regioncalls=175440, ndraw=40, logz=814.90, remainder_fraction=100.0000%, Lmin=821.73, Lmax=920.46
18:59:58 [ultranest] [DEBUG] iteration=1160, ncalls=4789, regioncalls=176280, ndraw=40, logz=815.17, remainder_fraction=100.0000%, Lmin=822.13, Lmax=920.46
18:59:58 [ultranest] [DEBUG] iteration=1170, ncalls=4904, regioncalls=180920, ndraw=40, logz=817.61, remainder_fraction=100.0000%, Lmin=825.62, Lmax=920.46
18:59:58 [ultranest] [DEBUG] iteration=1187, ncalls=5016, regioncalls=185480, ndraw=40, logz=822.29, remainder_fraction=100.0000%, Lmin=829.69, Lmax=920.60
18:59:58 [ultranest] [DEBUG] iteration=1200, ncalls=5138, regioncalls=190600, ndraw=40, logz=824.38, remainder_fraction=100.0000%, Lmin=832.21, Lmax=920.60
18:59:58 [ultranest] [DEBUG] iteration=1211, ncalls=5269, regioncalls=195920, ndraw=40, logz=826.88, remainder_fraction=100.0000%, Lmin=834.56, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1223, ncalls=5380, regioncalls=200720, ndraw=40, logz=829.41, remainder_fraction=100.0000%, Lmin=836.96, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1236, ncalls=5498, regioncalls=205760, ndraw=40, logz=832.01, remainder_fraction=100.0000%, Lmin=839.61, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1240, ncalls=5588, regioncalls=209400, ndraw=40, logz=832.77, remainder_fraction=100.0000%, Lmin=840.18, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1251, ncalls=5714, regioncalls=214600, ndraw=40, logz=834.67, remainder_fraction=100.0000%, Lmin=842.37, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1260, ncalls=5760, regioncalls=216480, ndraw=40, logz=836.26, remainder_fraction=100.0000%, Lmin=843.90, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1280, ncalls=5858, regioncalls=220400, ndraw=40, logz=839.89, remainder_fraction=100.0000%, Lmin=846.89, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1293, ncalls=5975, regioncalls=225080, ndraw=40, logz=841.88, remainder_fraction=100.0000%, Lmin=849.41, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1309, ncalls=6087, regioncalls=229560, ndraw=40, logz=844.18, remainder_fraction=100.0000%, Lmin=851.30, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1320, ncalls=6128, regioncalls=231200, ndraw=40, logz=845.51, remainder_fraction=100.0000%, Lmin=852.82, Lmax=920.60
18:59:59 [ultranest] [DEBUG] iteration=1335, ncalls=6259, regioncalls=236440, ndraw=40, logz=847.49, remainder_fraction=100.0000%, Lmin=854.98, Lmax=920.60
19:00:00 [ultranest] [DEBUG] iteration=1350, ncalls=6349, regioncalls=240040, ndraw=40, logz=849.25, remainder_fraction=100.0000%, Lmin=856.59, Lmax=920.60
19:00:00 [ultranest] [DEBUG] iteration=1360, ncalls=6444, regioncalls=243880, ndraw=40, logz=850.32, remainder_fraction=100.0000%, Lmin=857.47, Lmax=920.60
19:00:00 [ultranest] [DEBUG] iteration=1381, ncalls=6562, regioncalls=248600, ndraw=40, logz=852.66, remainder_fraction=100.0000%, Lmin=859.73, Lmax=920.60
19:00:00 [ultranest] [DEBUG] iteration=1396, ncalls=6670, regioncalls=252920, ndraw=40, logz=854.03, remainder_fraction=100.0000%, Lmin=861.25, Lmax=920.60
19:00:00 [ultranest] [DEBUG] iteration=1400, ncalls=6704, regioncalls=254280, ndraw=40, logz=854.41, remainder_fraction=100.0000%, Lmin=861.81, Lmax=920.60
19:00:00 [ultranest] [DEBUG] iteration=1408, ncalls=6822, regioncalls=259120, ndraw=40, logz=855.31, remainder_fraction=100.0000%, Lmin=862.87, Lmax=920.60
