weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -6.097671700044768386e+02 1.169634427429786516e-01 5.723317142364117149e-01 1.010950890796694646e-01 7.324840273755097719e-01 1.268485699317621895e-01 6.183825984128967779e-01
0.000000000000000000e+00 -5.883322353975667056e+02 7.124410139684980159e-01 6.901998392430448437e-01 1.779000474720271452e-02 9.584358756305664251e-01 3.240202882985747657e-01 9.467100084193590392e-01
0.000000000000000000e+00 -5.853371750076266835e+02 1.870897111894626041e-01 8.260681296747767188e-01 9.715797799991299222e-01 9.256921666779258651e-01 1.318733221396669597e-01 8.056668026624929091e-01
0.000000000000000000e+00 -5.835339111370642513e+02 4.630804384172787502e-01 6.654461588591354948e-01 1.174674087063027894e-01 8.101022251632373772e-01 7.593426523825392849e-01 9.920127636596066667e-01
0.000000000000000000e+00 -5.777930724214244265e+02 2.965233764998295163e-01 8.846751456845838302e-01 3.205096107368925473e-01 8.441350125113511460e-02 9.390472324647602953e-01 2.917613569198502788e-01
0.000000000000000000e+00 -5.736012895848477910e+02 2.265871609247489538e-01 2.689479527222069510e-01 2.375719909913639460e-01 5.777462904982639813e-01 6.070017581272302287e-02 2.910522313349650503e-04
0.000000000000000000e+00 -5.532237535212719877e+02 5.100547974513068850e-01 6.312894131238850903e-01 3.298866997575152782e-01 9.851760432613392293e-01 3.853699977364637430e-01 9.128787035002244865e-01
0.000000000000000000e+00 -5.468958219398538176e+02 1.979672248466809448e-01 8.494064017270140932e-01 2.945173482000803533e-01 8.238939967522278529e-01 2.896002698183727242e-01 2.117751706179675786e-01
0.000000000000000000e+00 -5.381862303730518988e+02 2.630601449893209542e-01 7.916498869749293288e-01 7.032921948670340928e-01 9.633902106789502540e-01 8.215070391771548408e-01 6.866519594279876237e-01
0.000000000000000000e+00 -5.360478255883091379e+02 5.326260544496246307e-01 6.920154026791254243e-01 8.322665787944782956e-02 9.137651553887213840e-01 3.677964311814552190e-04 5.067958115985032874e-01
0.000000000000000000e+00 -5.316006883587754146e+02 2.342456393878689092e-02 2.923439297045364871e-01 1.960263714139343083e-02 3.416220824775448861e-01 8.699694909079022098e-01 3.823287025212843693e-01
0.000000000000000000e+00 -5.244750587608510841e+02 7.129437946714944907e-03 4.984681326553469516e-01 1.040834053202630560e-01 5.904072776185327331e-01 9.045860847769076063e-01 4.565524401289160483e-01
0.000000000000000000e+00 -5.235388020548176655e+02 2.556796894704956857e-01 1.504551735804430246e-01 1.237468775175757374e-01 8.772535448476130870e-01 9.098956157696027613e-01 4.248445017374254951e-01
0.000000000000000000e+00 -5.212053967438484960e+02 1.845217502709164403e-01 7.858256089742006179e-01 5.323238646724137713e-02 4.736579502216456961e-01 3.611966499065023539e-01 6.655369221313979233e-01
