weight logl α₁ f₁ α₂ variance ν μ
0.000000000000000000e+00 -5.883322353975667056e+02 8.905512674606225199e-01 3.860940621276355289e-01 9.458683751736814971e-01 5.772804495382365397e-01 5.815821677301159509e-01 2.114253270738544632e+00
0.000000000000000000e+00 -5.853371750076266835e+02 2.338621389868282552e-01 1.608879896122073827e+00 3.892965533436399284e+00 3.839451869551450125e-01 3.149969567468069442e-01 1.275239892052786761e+00
0.000000000000000000e+00 -5.835339111370642513e+02 5.788505480215984100e-01 2.976918526948341137e-01 9.807241089424891811e-01 1.724006205821230209e-01 1.372365456752037360e+00 3.002399786226809919e+00
0.000000000000000000e+00 -5.777930724214244265e+02 3.706542206247869231e-01 2.977752216430763710e+00 1.533894423601920298e+00 7.112273424417527717e-03 2.251469090964873576e+00 -2.988153773173204408e-01
0.000000000000000000e+00 -5.736012895848477910e+02 2.832339511559361922e-01 4.623213992129076091e-03 1.166233461428925366e+00 6.570183044539536221e-02 1.984078415043396548e-01 -3.526173586091712941e+00
0.000000000000000000e+00 -5.532237535212719877e+02 6.375684968141336340e-01 2.079428707900189965e-01 1.746789928560820382e+00 1.078508123230633942e+00 6.672784703077807578e-01 1.829573495866683164e+00
0.000000000000000000e+00 -5.468958219398538176e+02 2.474590310583511810e-01 2.055856097694679807e+00 1.352647446243205653e+00 1.855656003069480753e-01 5.344930960985599944e-01 -5.801131857359907995e-01
0.000000000000000000e+00 -5.381862303730518988e+02 3.288251812366511651e-01 1.120747460591905220e+00 2.910733777265313016e+00 6.271976262060884322e-01 1.572571764311814446e+00 8.559605272741018789e-01
0.000000000000000000e+00 -5.360478255883091379e+02 6.657825680620308439e-01 3.935280688623647438e-01 9.432783415656234016e-01 3.428120956099167671e-01 1.368505231523366346e-02 3.321102464223281148e-01
0.000000000000000000e+00 -5.316006883587754146e+02 2.928070492348361364e-02 5.911209246596404489e-03 1.071172744551980721e-01 2.795788582653343721e-02 1.778276235667680005e+00 -2.103848831454291357e-02
0.000000000000000000e+00 -5.244750587608510841e+02 8.911797433393681134e-03 5.152452278645111572e-02 4.243178484900539393e-01 6.878834139389507218e-02 1.974322281321016614e+00 1.913015294104513375e-01
0.000000000000000000e+00 -5.235388020548176655e+02 3.195996118381195794e-01 1.331620567000933123e-03 7.750376678876260694e-01 2.572826924463649800e-01 2.010135108056347875e+00 1.015737370946412643e-01
0.000000000000000000e+00 -5.212053967438484960e+02 2.306521878386455504e-01 1.054235010175303300e+00 4.313035673050695240e-01 4.534532957500123779e-02 6.331564107203055958e-01 7.903768427816446618e-01
0.000000000000000000e+00 -5.209529950667399589e+02 2.640357387727680916e-01 2.210867187075832643e-02 4.774980570481881514e-01 4.259136030707967591e-02 1.645056827152040713e+00 9.429200044511707457e-01
0.000000000000000000e+00 -5.022991816706839359e+02 4.124209052904795336e-02 1.281475679009730084e-01 1.072974195137883502e+00 2.065209536459065576e-01 5.437414196522529775e-01 -5.481840495250479561e-01
0.000000000000000000e+00 -4.936794868405359011e+02 6.186351717617123436e-01 2.130234029732280387e-03 8.837270539721876483e-01 3.027266654337817386e-01 3.016305445779948524e+00 -1.958242941274246363e-02
0.000000000000000000e+00 -4.825679814852781533e+02 5.147934962198703612e-01 1.156072068469552905e+00 2.066109363826091005e+00 5.031056960694337832e-01 7.978613533974481253e-01 5.932093838956991050e-01
0.000000000000000000e+00 -4.750607691684449492e+02 1.071810241205811698e-02 9.485048409313885653e-02 2.364402710461763757e-01 1.473915957956854067e-02 4.758820584037900536e-01 7.744071850563055692e-01
