weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -5.599051552771248680e+03 1.211326011494469335e-01 3.060099234555117675e+00 1.358468314090887308e+00 3.418927726087647029e-02 3.661322661301363190e+00 1.199256872737610724e+00 3.169287756314767002e-01
0.000000000000000000e+00 -4.831413488922780743e+03 3.227312484132361936e-01 4.245674900772947180e-01 3.679107697197606441e+00 9.374657086103800954e-03 1.976674738809996779e+00 1.342259103967941680e+00 8.139168139498574595e-03
0.000000000000000000e+00 -4.560754492968448176e+03 1.393228391208682637e-01 8.089238844538021445e-03 3.595668666672944269e-01 1.163736498906653011e-01 2.433024037040047993e-01 2.332405449844461298e+00 5.328294338864568913e-04
0.000000000000000000e+00 -4.498239245095837759e+03 1.511202169007827556e-01 7.688411231293738879e-02 3.641887938174741990e+00 9.734121194035437116e-03 2.111734008692309317e+00 1.475129157592384832e+00 4.481842431819234307e-02
0.000000000000000000e+00 -4.243388298627650329e+03 9.040401062246850028e-02 2.828831255979584068e-04 3.888250694881336234e+00 7.730205603322967689e-02 4.513711113003316400e-01 8.425318293635482014e-01 2.873302593856323379e-03
0.000000000000000000e+00 -4.238767100973255765e+03 1.324903980755727517e-01 6.345629846595987056e-01 3.538380483377746577e-01 4.465439777833305618e-02 1.652648564821464605e+00 -1.074112813071673500e+00 3.187937781814330429e-06
0.000000000000000000e+00 -3.832346600763610695e+03 8.512070969937585163e-02 6.373497532235922192e-01 2.591025843825113917e+00 1.336402441466976766e-02 1.789874401269158755e+00 8.363667956037228457e-01 1.005044550272792547e-01
0.000000000000000000e+00 -3.822018535460309522e+03 9.476080955023433172e-02 3.772845964406732616e-02 5.241118386397324302e-01 9.957155023260418070e-02 1.549329018656536272e+00 -1.659941040938186951e+00 7.907483874573043850e-04
0.000000000000000000e+00 -3.155959639605663597e+03 2.109739233815424719e-02 5.998481699871669015e+00 1.395255742764591300e+00 7.212839164322640273e-02 3.355827236504040356e-01 1.565683206973304653e+00 1.196572373391553003e-05
0.000000000000000000e+00 -3.145351820500126905e+03 1.726735692049798099e-01 2.401158980361356665e+00 3.995288467956421119e+00 1.373048959248429970e-02 1.637049455321530456e+00 -4.499781804029443499e-01 4.784762040107970460e-03
0.000000000000000000e+00 -3.100061999886321701e+03 1.437052856456950967e-01 2.111359536720130770e+00 4.010261055836186195e-01 1.575459146418146938e-02 4.026319030141181088e-01 -5.739430199758339679e-01 1.861266813931371777e-01
0.000000000000000000e+00 -3.080128186215722053e+03 6.143277519696486166e-01 4.618144246436224642e-04 3.506018623799143530e+00 1.560626193468738453e-02 6.044006818783298485e-01 5.947983745481717488e-01 1.797976582571672732e-05
0.000000000000000000e+00 -3.069273826826889035e+03 1.838912245172115434e-01 2.861199579111118035e-04 5.859891058331739844e-01 7.450967284663362507e-03 4.320618863340803806e-01 -3.520802507257021485e-01 4.611498637619592007e-04
0.000000000000000000e+00 -2.648838131415058342e+03 5.079496889028933815e-01 9.137547504985251479e+00 8.538651464017591453e-01 3.449963382498406200e-02 1.518189657255004210e+00 1.531835847203637968e+00 4.139594202729519906e-06
0.000000000000000000e+00 -2.633402158654822870e+03 1.402807071388928462e-02 3.066800985325992102e+00 2.086686058632891694e+00 3.373847471979782991e-02 9.705191060644074996e-01 1.010257792625052886e+00 4.242214217860841574e-02
0.000000000000000000e+00 -2.594143948998336327e+03 1.901646972838715033e-01 5.657238896090694968e-01 1.572860750340508762e+00 6.965935084105422635e-03 6.906995296353107827e-01 -2.977562034670317992e-01 5.386797210203774222e-01
0.000000000000000000e+00 -2.593943404196338179e+03 2.902655368379846168e-01 3.594698181545833648e+00 2.739788424009722778e+00 9.777891782192691186e-03 1.393151644110492526e+00 7.125241169498934823e-01 1.139257082046183939e-04
0.000000000000000000e+00 -2.520694360261933980e+03 3.655055710205017405e-01 4.009643127413797803e-01 2.725572478198326376e+00 6.866513373305873497e-03 3.869793330868511738e-01 -6.014037392636875090e-01 1.178499561667436106e-05
0.000000000000000000e+00 -2.421244963490195005e+03 8.058128231805171682e-01 9.322669325936438654e-04 3.939480440068209521e+00 8.646016868719524906e-02 2.679769348345247271e-01 1.771995061128281423e-01 3.576852587964598346e-02
