logz logzerr logvol nlive logl logwt insert_order
-1.966686301089510152e+03 3.060014492209838295e+02 -8.000000000000002942e-02 4.000000000000000000e+02 -1.881948204133153013e+03 -1.888020918419844293e+03 4.499999999999999833e-02
-1.888020918419844293e+03 3.736725298089057645e+01 -8.250000000000003164e-02 4.000000000000000000e+02 -1.865463193114815112e+03 -1.871538407401506447e+03 1.435000000000000053e+00
-1.871538407332046290e+03 8.093780598624746858e+00 -8.500000000000003386e-02 4.000000000000000000e+02 -1.742155156561768763e+03 -1.748232870848460152e+03 2.449999999999999956e-01
-1.748232870848460152e+03 6.161530471394693365e+01 -8.750000000000003608e-02 4.000000000000000000e+02 -1.726524174700665526e+03 -1.732604388987356742e+03 5.300000000000000266e-01
-1.732604388824188163e+03 5.754412992907617053e+01 -9.000000000000003830e-02 4.000000000000000000e+02 -1.716874610813004892e+03 -1.722957325099696163e+03 9.749999999999999778e-01
-1.722957260486767382e+03 7.583887681220609522e+00 -9.250000000000004052e-02 4.000000000000000000e+02 -1.629570846950434998e+03 -1.635656061237126323e+03 1.104999999999999982e+00
-1.635656061237126323e+03 4.367277182612971131e+01 -9.500000000000004274e-02 4.000000000000000000e+02 -1.396026168956583888e+03 -1.402113883243275268e+03 1.784999999999999920e+00
-1.402113883243275268e+03 1.009281070072001114e+02 -9.750000000000004496e-02 4.000000000000000000e+02 -1.392402468325933114e+03 -1.398492682612624321e+03 1.614999999999999991e+00
-1.398466283613144014e+03 6.505877030560056085e+01 -1.000000000000000472e-01 4.000000000000000000e+02 -1.380900836175658696e+03 -1.386993550462349958e+03 3.750000000000000000e-01
-1.386993540052294520e+03 6.718230030313557677e+01 -1.025000000000000494e-01 4.000000000000000000e+02 -1.375635547811715696e+03 -1.381730762098407013e+03 4.000000000000000222e-01
-1.381725594580625739e+03 6.851392486590501107e+01 -1.050000000000000516e-01 4.000000000000000000e+02 -1.286445283837545730e+03 -1.292542998124237101e+03 3.200000000000000067e-01
-1.292542998124237101e+03 4.380751156990015716e+01 -1.075000000000000538e-01 4.000000000000000000e+02 -1.273368218739975418e+03 -1.279468433026666844e+03 1.594999999999999973e+00
-1.279468430928750877e+03 4.098269257523737963e+01 -1.100000000000000561e-01 4.000000000000000000e+02 -1.241629178384888291e+03 -1.247731892671579544e+03 7.600000000000000089e-01
-1.247731892671579544e+03 1.599505713631277892e+01 -1.125000000000000583e-01 4.000000000000000000e+02 -1.236434357822484344e+03 -1.242539572109175651e+03 4.000000000000000222e-01
-1.242534028412281486e+03 1.348854408282330297e+01 -1.150000000000000605e-01 4.000000000000000000e+02 -1.210259426238525748e+03 -1.216367140525217110e+03 8.199999999999999512e-01
-1.216367140525212790e+03 1.842014890843829278e+01 -1.175000000000000627e-01 4.000000000000000000e+02 -1.193665938477656937e+03 -1.199776152764348353e+03 1.534999999999999920e+00
-1.199776152702028639e+03 1.826183234592710392e+01 -1.200000000000000649e-01 4.000000000000000000e+02 -1.160596362283806002e+03 -1.166709076570497245e+03 8.649999999999999911e-01
-1.166709076570497245e+03 1.799581369581692769e+01 -1.225000000000000672e-01 4.000000000000000000e+02 -1.157419510615750141e+03 -1.163534724902441440e+03 1.400000000000000133e-01
-1.163493754557975080e+03 2.164177069198598868e+00 -1.250000000000000555e-01 4.000000000000000000e+02 -1.152899954176720257e+03 -1.159017668463411610e+03 1.024999999999999911e+00
-1.159006354846432032e+03 3.087779815398024486e+00 -1.275000000000000577e-01 4.000000000000000000e+02 -1.132476545924640050e+03 -1.138596760211331457e+03 1.945000000000000062e+00
