weight logl α₁ f₁ α₂ variance ν μ c
0.000000000000000000e+00 -1.742155156561768763e+03 2.730120039881402949e-01 3.755158602492714159e-01 2.008148162497678246e-01 2.080109807513295106e-01 6.294677876822467599e-01 1.662575538863786395e-02 3.227014251289634927e-01
0.000000000000000000e+00 -1.726524174700665526e+03 2.547439834582202467e-01 7.971882077881837780e-01 1.704367755417457442e-02 6.542529484089988356e-01 1.504544557142074579e-01 9.420146626353523844e-01 1.665526640710307538e-01
0.000000000000000000e+00 -1.716874610813004892e+03 4.102802039381747701e-02 6.657639795223171397e-01 4.671599743022103457e-01 4.740488377027867184e-01 3.817795987783642042e-01 4.687723646950747725e-01 9.948994956370142972e-01
0.000000000000000000e+00 -1.629570846950434998e+03 5.803856895688419559e-02 6.938649186866401308e-01 3.297311075884732379e-01 8.019113930103927146e-02 5.524992179242509405e-01 2.992876793193377516e-01 9.527871100188610720e-01
0.000000000000000000e+00 -1.396026168956583888e+03 9.419159337444894531e-01 1.923702927885061476e-01 5.760814944397602000e-01 7.027837620897481319e-02 1.464448946271400542e-01 6.736487754254832927e-01 8.173385740600737082e-01
0.000000000000000000e+00 -1.392402468325933114e+03 2.034846717320890619e-01 6.768354917676262517e-01 9.092632960469745340e-01 9.566639117184894126e-02 1.683234399999837816e-01 6.904774757778432415e-01 8.161731146213688781e-01
0.000000000000000000e+00 -1.380900836175658696e+03 4.276844693349446391e-01 1.093472132476347447e-02 5.722115088940354921e-01 1.873776213787863298e-01 1.763654323165162463e-01 6.476524560249097284e-01 8.344210763967370159e-01
0.000000000000000000e+00 -1.375635547811715696e+03 6.981394656374384500e-02 9.924165089490795122e-01 6.273687981627483756e-01 4.185260760404516667e-01 6.846979069929874928e-01 7.918216923047591838e-01 3.773822288307410178e-01
0.000000000000000000e+00 -1.286445283837545730e+03 2.636586822240362116e-01 6.712034876650182502e-01 2.696780155776812293e-02 6.510235714380507854e-02 8.274989675572873571e-01 5.494892759585813247e-01 2.450732823940193761e-01
0.000000000000000000e+00 -1.273368218739975418e+03 3.772343591692189912e-01 3.681827629582634653e-02 2.867928231669558681e-02 5.238969233501175049e-01 4.086185002385637199e-01 9.046794241798468139e-01 8.153474569163670083e-01
0.000000000000000000e+00 -1.241629178384888291e+03 2.138329735640840390e-01 8.211503764497081193e-01 5.019219712242865006e-01 6.445669415773882527e-01 7.833348966269351177e-01 9.407494041007036234e-01 4.180263184494396045e-01
0.000000000000000000e+00 -1.236434357822484344e+03 1.217023494170654807e-01 7.777076445814387062e-01 4.288276885764290558e-01 3.018316441674373518e-01 2.386641719643028958e-01 1.641725880659568038e-01 8.096620139516688130e-01
0.000000000000000000e+00 -1.210259426238525748e+03 9.889233914776169865e-01 1.984804323428133177e-01 7.635969692025739164e-01 7.151146624668479612e-01 1.655403880215144952e-02 3.051160629762112997e-01 7.850020346507285973e-01
0.000000000000000000e+00 -1.193665938477656937e+03 3.278355459892131618e-01 9.168691999201006304e-03 6.072094738430401373e-01 2.465579323013650237e-01 1.754314130679496264e-01 9.606064680957777657e-01 3.153144222961159482e-01
0.000000000000000000e+00 -1.160596362283806002e+03 5.376560689233744750e-02 5.853457487572621964e-02 2.517057996213046822e-01 1.394420455748506260e-01 3.555765281016645130e-01 9.645596598426661172e-01 9.362081113437140667e-01
0.000000000000000000e+00 -1.157419510615750141e+03 2.085909690679177420e-02 4.324934342574147106e-01 4.870089222402977924e-01 2.997761943837214949e-01 2.505847163514283160e-01 2.807644442961543252e-02 5.356205847168976630e-01
0.000000000000000000e+00 -1.152899954176720257e+03 2.716946831401615414e-01 4.609237923231016554e-01 7.051658615902838267e-01 6.447598318218361602e-02 3.388019987063628502e-01 9.104016232073572912e-01 4.599785173730855936e-01
0.000000000000000000e+00 -1.132476545924640050e+03 6.243202803289593650e-02 1.155994463488744239e-01 8.452268104873577048e-01 3.528232667846264992e-02 7.405636316252319773e-01 4.766935200042856646e-01 8.967361607063596418e-01
0.000000000000000000e+00 -1.128270790158558839e+03 6.239594700327832921e-02 5.276230781369345424e-01 9.399883411870325611e-01 1.456428753291506561e-01 5.719087564855015460e-01 1.288089982093961749e-01 5.731679199896732024e-01
0.000000000000000000e+00 -1.119040222620500572e+03 2.186999658867820884e-01 6.566704702726786635e-01 3.136341674062079754e-01 9.839115825615263322e-02 1.938626424153386818e-01 2.153340773798503305e-01 8.375387912668745827e-01
0.000000000000000000e+00 -1.113678261911034042e+03 3.128089322332276989e-01 4.136792679060004030e-01 4.866059201153773994e-01 1.097558977122427004e-01 8.646404132171437995e-01 9.795991471836487108e-01 5.398588285040917256e-03
0.000000000000000000e+00 -1.081317351998675576e+03 5.482232873395290751e-01 2.320666968613327441e-02 6.556319810801675141e-01 2.150171179335219618e-01 6.100717577521388435e-01 8.158776112510723877e-02 6.586930605622601798e-01
0.000000000000000000e+00 -1.044210140672651960e+03 6.909125046806601222e-01 8.467428903267095741e-01 5.176614498054634694e-01 9.630642069838857289e-02 9.703935748970675679e-01 9.911097548230569654e-01 1.648304609822414113e-01
0.000000000000000000e+00 -1.032333075808174044e+03 2.144164645002936131e-01 8.514090622866237190e-01 3.122281038038077217e-01 9.725808427304927228e-02 2.702823004060922463e-01 3.271024169748364407e-01 4.350278015101529672e-01
0.000000000000000000e+00 -1.001581259334692049e+03 2.399065397807601530e-01 1.279546902248059892e-01 9.526664285814989697e-02 3.225327425349614474e-01 1.607991017259164934e-01 8.021782954556538892e-01 6.105832365217301883e-01
0.000000000000000000e+00 -9.909102490418315483e+02 8.357416021536456796e-02 1.410727583244507644e-01 8.646881621164069776e-01 2.968010976285562208e-02 6.028249692715300645e-01 2.132833288571608366e-01 2.113703237786364042e-01
0.000000000000000000e+00 -9.299038694734481396e+02 1.804283141811292568e-01 2.669381855049424157e-02 8.800669909339370323e-01 8.053682958689767357e-01 3.966816275361529920e-01 1.442792533211457728e-01 3.309397704158245634e-01
0.000000000000000000e+00 -9.088273123559131363e+02 9.218188131212793346e-01 2.816681798475245690e-01 5.206522778548489105e-01 6.480547570735795126e-02 5.718193769503909785e-02 9.911178593458719321e-01 4.489356311130465738e-02
0.000000000000000000e+00 -8.563757051223576582e+02 1.609523533501783232e-01 9.470503088942732184e-01 1.724140661137674169e-01 6.154550262082847389e-01 2.714051320816398549e-01 1.130706321036181183e-01 2.891734273500488062e-01
0.000000000000000000e+00 -8.474522280289338596e+02 4.245850629421303868e-01 1.892367200657067983e-01 6.096214929816744510e-01 9.216372484422086231e-02 1.598494670496880543e-01 3.206593241213934187e-01 9.744092487736508712e-01
0.000000000000000000e+00 -8.398862350277252062e+02 4.902956471943666905e-01 2.173871030013974082e-02 1.593441227658576320e-02 7.110357642055653571e-02 8.944941816667090206e-01 2.591168308790141594e-01 6.403370991900678710e-01
0.000000000000000000e+00 -8.094287419220047468e+02 1.954548856874271934e-02 6.908811010866093838e-01 3.157016219862242012e-01 5.497326766217653926e-01 9.904483079618735530e-01 8.035334222149238537e-01 2.751737833543537182e-01
0.000000000000000000e+00 -7.970296502593332661e+02 1.426741663438213514e-01 9.272682279281065920e-01 2.654553347536671160e-01 5.365326007346581383e-01 4.025146102202223908e-01 1.312663319686309116e-01 8.408126957658634826e-01
0.000000000000000000e+00 -7.715024515014058579e+02 3.327415914678472086e-01 7.795677731801293753e-01 4.054173930823238292e-01 4.448110215812811630e-01 7.303267712102716747e-01 8.936560246517529782e-01 6.167156263492734602e-03
0.000000000000000000e+00 -7.377704654032959297e+02 2.715027132608089921e-01 2.391419622796331357e-01 9.328929286753300243e-01 1.609998033867199307e-02 7.341058348076959783e-01 7.939104539025609864e-01 8.847080595674762238e-01
0.000000000000000000e+00 -7.267302483457588096e+02 2.818979527760543391e-01 9.718848778882285266e-01 8.216691459459800617e-01 1.160863469025185113e-01 2.604404012815103586e-01 3.933398519809424565e-01 9.050436657388751804e-01
0.000000000000000000e+00 -7.001583488876914316e+02 2.127197761081962568e-01 9.566918660490350002e-01 6.129326786404210026e-03 3.668431722751682722e-01 2.564670779035679304e-01 6.789720454062065924e-01 5.971454099696813511e-01
0.000000000000000000e+00 -6.726228062550248978e+02 7.980371273674421451e-01 5.247748538084072711e-01 4.653519808704309479e-02 9.154092566236782247e-03 9.228183710657145156e-01 8.360203923137510262e-01 2.454704577332943449e-01
0.000000000000000000e+00 -6.701219152879107241e+02 4.917737277820622976e-01 6.403391530183011326e-01 7.017649991655769970e-01 2.249800618555770626e-01 3.798710512438190356e-01 9.823865158328328739e-01 5.181860804732865144e-01
0.000000000000000000e+00 -6.366956779129707229e+02 8.741258824300863761e-01 4.871235687923536339e-02 6.421757679796297191e-01 5.633004766844053046e-01 4.460972233303749368e-01 1.215614480922997398e-01 1.004602313465187136e-01
0.000000000000000000e+00 -6.354078566338539531e+02 9.435833938955021649e-01 7.106729297892477870e-02 8.172489563456574180e-01 4.461963139871978345e-01 9.506874607387204579e-01 7.225443390067679550e-01 6.244969484609738108e-01
0.000000000000000000e+00 -6.257830408485848466e+02 3.273574498408972078e-01 9.316406375760932779e-01 6.023964102373778884e-01 5.386503210660916752e-01 8.657359462441909237e-01 9.756166307569869023e-02 7.330499705991228021e-01
0.000000000000000000e+00 -5.927887177852230707e+02 1.067105470778018095e-01 8.449786923204414268e-01 7.833339823781642064e-01 9.589332719479459755e-02 7.818849905513566290e-01 4.819487061137137651e-01 1.182677171005159789e-01
0.000000000000000000e+00 -5.809767925413073044e+02 3.992928736276885049e-01 3.987621942261667662e-01 1.495306465525115813e-01 2.455098205977276349e-01 3.100226440630668989e-01 9.158403041100210418e-01 5.392221966037591407e-02
0.000000000000000000e+00 -5.785054705741817997e+02 2.140857567462006728e-01 1.493742877639251398e-01 7.746163812506722257e-01 1.723071292562212697e-01 2.650756344274418641e-01 9.607288815864175602e-01 4.679537513980482899e-01
0.000000000000000000e+00 -5.524842543310217025e+02 4.197136636170977209e-01 2.836684908203446209e-02 3.235973040087147812e-02 7.147156618776450143e-01 4.918637361753319670e-01 9.397528418803067218e-01 8.791583388837254098e-02
0.000000000000000000e+00 -5.442794150843525358e+02 1.260114238441668588e-01 8.444254149901166961e-01 9.745890561436565402e-01 6.983580363259357382e-01 8.601430441993735965e-01 8.218717640781549871e-01 7.116240789650813969e-01
0.000000000000000000e+00 -5.394938785180395371e+02 4.702188605685276857e-01 3.881997745901638597e-01 2.929810041307279178e-02 1.751597261638709879e-01 9.307872259311433805e-01 2.045693157818472274e-01 2.639417889485866642e-01
0.000000000000000000e+00 -5.285368617962039934e+02 9.744777091628553656e-02 8.274796263307484523e-01 6.480890303697303123e-01 3.765310330671822747e-01 1.441857329110224351e-01 6.495080133074302431e-01 7.666749069568082886e-01
0.000000000000000000e+00 -5.193439731503999610e+02 5.431996949156037147e-01 9.977512958786034503e-01 2.262236810278501764e-01 4.428768113959268282e-01 7.732924370852051199e-01 1.719892003245870882e-02 8.427791300814106989e-01
0.000000000000000000e+00 -5.004397401331964375e+02 6.259293983092595326e-01 6.199813600101822253e-02 9.269508759299665002e-01 6.580780291033453411e-01 9.139009656019992933e-01 1.286992407968401420e-02 4.381631340157390309e-01
0.000000000000000000e+00 -4.599015388242167433e+02 5.692450703137418300e-01 2.757068559911626249e-01 1.465982045644027565e-01 8.160462092094011854e-02 8.435040340416132265e-01 6.147455957088023837e-01 9.817742265257809464e-01
0.000000000000000000e+00 -4.544503199466550996e+02 8.074399090170563120e-01 1.294369392351315540e-01 9.769993786886422837e-01 3.370015326705504410e-01 9.271565772218723911e-01 5.849446975261092252e-01 2.410661686089508038e-01
0.000000000000000000e+00 -4.486101587555336891e+02 1.953890848475281494e-01 8.852321778511317296e-01 8.520319845057662267e-01 8.860005503847835362e-01 1.323477294630479584e-01 8.866562443279627503e-01 8.684783921267906770e-01
