12:00:33 [ultranest] [DEBUG] ReactiveNestedSampler: dims=7+0, resume=True, log_dir=inference/subset_simu_single, backend=hdf5, vectorized=False, nbootstraps=30, ndraw=128..65536
12:00:35 [ultranest] [INFO] Sampling 400 live points from prior ...
12:00:36 [ultranest] [DEBUG] run_iter dlogz=0.5, dKL=0.5, frac_remain=0.01, Lepsilon=0.0010, min_ess=400
12:00:36 [ultranest] [DEBUG] max_iters=-1, max_ncalls=-1, max_num_improvement_loops=-1, min_num_live_points=400, cluster_num_live_points=40
12:00:36 [ultranest] [DEBUG] minimal_widths_sequence: [(-inf, 400.0), (inf, 400.0)]
12:00:41 [ultranest] [DEBUG] iteration=1040, ncalls=3725, regioncalls=134560, ndraw=40, logz=391.57, remainder_fraction=100.0000%, Lmin=398.36, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=1055, ncalls=3794, regioncalls=137320, ndraw=40, logz=393.89, remainder_fraction=100.0000%, Lmin=400.84, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=1068, ncalls=3880, regioncalls=140760, ndraw=40, logz=395.66, remainder_fraction=100.0000%, Lmin=402.21, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=1080, ncalls=3959, regioncalls=143920, ndraw=40, logz=397.83, remainder_fraction=100.0000%, Lmin=404.85, Lmax=463.66
12:00:41 [ultranest] [DEBUG] iteration=1096, ncalls=4031, regioncalls=147080, ndraw=40, logz=400.09, remainder_fraction=100.0000%, Lmin=406.78, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1111, ncalls=4118, regioncalls=150680, ndraw=40, logz=401.94, remainder_fraction=100.0000%, Lmin=408.55, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1120, ncalls=4154, regioncalls=152200, ndraw=40, logz=403.07, remainder_fraction=100.0000%, Lmin=409.70, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1138, ncalls=4230, regioncalls=155360, ndraw=40, logz=405.14, remainder_fraction=100.0000%, Lmin=411.78, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1149, ncalls=4302, regioncalls=158480, ndraw=40, logz=406.25, remainder_fraction=100.0000%, Lmin=413.14, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1160, ncalls=4340, regioncalls=160080, ndraw=40, logz=407.55, remainder_fraction=100.0000%, Lmin=414.09, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1170, ncalls=4401, regioncalls=162640, ndraw=40, logz=408.35, remainder_fraction=100.0000%, Lmin=414.55, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1183, ncalls=4470, regioncalls=165600, ndraw=40, logz=409.48, remainder_fraction=100.0000%, Lmin=416.54, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1196, ncalls=4551, regioncalls=168920, ndraw=40, logz=411.02, remainder_fraction=100.0000%, Lmin=417.64, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1200, ncalls=4573, regioncalls=169800, ndraw=40, logz=411.37, remainder_fraction=100.0000%, Lmin=417.87, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1216, ncalls=4649, regioncalls=173000, ndraw=40, logz=412.41, remainder_fraction=100.0000%, Lmin=418.62, Lmax=463.66
12:00:42 [ultranest] [DEBUG] iteration=1230, ncalls=4722, regioncalls=176040, ndraw=40, logz=413.31, remainder_fraction=100.0000%, Lmin=419.80, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1240, ncalls=4781, regioncalls=178520, ndraw=40, logz=414.11, remainder_fraction=100.0000%, Lmin=420.71, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1253, ncalls=4881, regioncalls=182800, ndraw=40, logz=415.31, remainder_fraction=100.0000%, Lmin=421.89, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1262, ncalls=4933, regioncalls=185120, ndraw=40, logz=415.98, remainder_fraction=100.0000%, Lmin=422.45, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1280, ncalls=5007, regioncalls=188240, ndraw=40, logz=417.21, remainder_fraction=100.0000%, Lmin=423.79, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1291, ncalls=5096, regioncalls=191960, ndraw=40, logz=418.09, remainder_fraction=100.0000%, Lmin=424.89, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1306, ncalls=5176, regioncalls=195400, ndraw=40, logz=419.16, remainder_fraction=100.0000%, Lmin=425.58, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1320, ncalls=5252, regioncalls=198760, ndraw=40, logz=419.89, remainder_fraction=100.0000%, Lmin=426.21, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1334, ncalls=5343, regioncalls=202720, ndraw=40, logz=420.74, remainder_fraction=100.0000%, Lmin=427.26, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1345, ncalls=5416, regioncalls=205800, ndraw=40, logz=421.43, remainder_fraction=100.0000%, Lmin=428.10, Lmax=463.88
12:00:43 [ultranest] [DEBUG] iteration=1350, ncalls=5444, regioncalls=206920, ndraw=40, logz=421.74, remainder_fraction=100.0000%, Lmin=428.21, Lmax=463.88
12:00:44 [ultranest] [DEBUG] iteration=1360, ncalls=5496, regioncalls=209120, ndraw=40, logz=422.31, remainder_fraction=100.0000%, Lmin=428.94, Lmax=463.88
12:00:44 [ultranest] [DEBUG] iteration=1373, ncalls=5587, regioncalls=212840, ndraw=40, logz=423.12, remainder_fraction=100.0000%, Lmin=429.97, Lmax=463.88
12:00:44 [ultranest] [DEBUG] iteration=1388, ncalls=5669, regioncalls=216280, ndraw=40, logz=424.12, remainder_fraction=100.0000%, Lmin=430.82, Lmax=463.88
12:00:44 [ultranest] [DEBUG] iteration=1400, ncalls=5713, regioncalls=218160, ndraw=40, logz=424.85, remainder_fraction=100.0000%, Lmin=431.48, Lmax=463.88
12:00:44 [ultranest] [DEBUG] iteration=1413, ncalls=5799, regioncalls=221800, ndraw=40, logz=425.54, remainder_fraction=100.0000%, Lmin=432.01, Lmax=463.88
12:00:44 [ultranest] [DEBUG] iteration=1422, ncalls=5888, regioncalls=225680, ndraw=40, logz=425.97, remainder_fraction=100.0000%, Lmin=432.50, Lmax=463.88
12:00:44 [ultranest] [DEBUG] iteration=1438, ncalls=5972, regioncalls=229280, ndraw=40, logz=426.73, remainder_fraction=100.0000%, Lmin=433.20, Lmax=463.88
12:00:44 [ultranest] [DEBUG] iteration=1440, ncalls=5980, regioncalls=229600, ndraw=40, logz=426.81, remainder_fraction=100.0000%, Lmin=433.36, Lmax=463.88
